element      , index      , n  , pearson_r, pearson_p, pearson_r2, spearman_rho, spearman_p, kendall_tau, kendall_p, date
N_%          , NDVI       , 100, -0.231518,  0.020468,   0.053601, -0.228911   ,   0.021973, -0.154096  ,  0.023414, date1
N_%          , NDRE       , 100, -0.215725,  0.031117,   0.046537, -0.241250   ,   0.015606, -0.164625  ,  0.015457, date1
N_%          , GNDVI      , 100, -0.231581,  0.020433,   0.053630, -0.250923   ,   0.011799, -0.167460  ,  0.013771, date1
N_%          , CIre       , 100, -0.187890,  0.061209,   0.035303, -0.241250   ,   0.015606, -0.164625  ,  0.015457, date1
N_%          , CIgreen    , 100, -0.187459,  0.061816,   0.035141, -0.250923   ,   0.011799, -0.167460  ,  0.013771, date1
N_%          , OSAVI      , 100, -0.231518,  0.020468,   0.053601, -0.228911   ,   0.021973, -0.154096  ,  0.023414, date1
N_%          , EVI        , 100, -0.194084,  0.053005,   0.037669, -0.199806   ,   0.046252, -0.131012  ,  0.053972, date1
N_%          , EVI2       , 100, -0.220412,  0.027554,   0.048581, -0.228911   ,   0.021973, -0.154096  ,  0.023414, date1
N_%          , CCCI       , 100, 0.121353 ,  0.229084,   0.014726, 0.112124    ,   0.266718, 0.081199   ,  0.232337, date1
N_%          , MTCI       , 100, -0.014381,  0.887075,   0.000207, -0.018837   ,   0.852427, -0.012352  ,  0.855829, date1
N_%          , Datt       , 100, -0.040348,  0.690211,   0.001628, -0.018837   ,   0.852427, -0.012352  ,  0.855829, date1
N_%          , SAVI       , 100, -0.231518,  0.020468,   0.053601, -0.228911   ,   0.021973, -0.154096  ,  0.023414, date1
N_%          , WDRVI      , 100, -0.204917,  0.040839,   0.041991, -0.228911   ,   0.021973, -0.154096  ,  0.023414, date1
N_%          , SIPI       , 100, 0.199906 ,  0.046140,   0.039963, 0.204523    ,   0.041236, 0.133847   ,  0.048981, date1
N_%          , PSRI       , 100, 0.217312 ,  0.029869,   0.047225, 0.194765    ,   0.052161, 0.124532   ,  0.066989, date1
N_%          , ARI        , 100, -0.177529,  0.077223,   0.031516, -0.265362   ,   0.007624, -0.180015  ,  0.008101, date1
N_%          , TCARI      , 100, -0.246515,  0.013419,   0.060770, -0.203839   ,   0.041934, -0.143566  ,  0.034710, date1
N_%          , MCARI      , 100, -0.181889,  0.070116,   0.033084, -0.207530   ,   0.038282, -0.144376  ,  0.033700, date1
N_%          , TCARI_OSAVI, 100, 0.051562 ,  0.610416,   0.002659, 0.109274    ,   0.279144, 0.070669   ,  0.298581, date1
N_%          , MCARI_OSAVI, 100, -0.171134,  0.088680,   0.029287, -0.162059   ,   0.107205, -0.108738  ,  0.109725, date1
N_%          , SR         , 100, -0.150287,  0.135578,   0.022586, -0.228911   ,   0.021973, -0.154096  ,  0.023414, date1
N_%          , DVI        , 100, -0.234159,  0.019035,   0.054830, -0.230916   ,   0.020808, -0.154906  ,  0.022696, date1
N_%          , RDVI       , 100, -0.235636,  0.018272,   0.055524, -0.239011   ,   0.016626, -0.158551  ,  0.019694, date1
N_%          , RENDVI     , 100, -0.217002,  0.030109,   0.047090, -0.221458   ,   0.026807, -0.147211  ,  0.030362, date1
N_%          , LCI        , 100, -0.218431,  0.029015,   0.047712, -0.238363   ,   0.016931, -0.160980  ,  0.017891, date1
N_%          , CVI        , 100, -0.150321,  0.135487,   0.022596, -0.199392   ,   0.046715, -0.124127  ,  0.067881, date1
N_%          , NPCI       , 100, 0.015166 ,  0.880955,   0.000230, 0.028919    ,   0.775172, 0.005872   ,  0.931168, date1
N_%          , NGRDI      , 100, -0.196778,  0.049731,   0.038722, -0.192311   ,   0.055255, -0.123317  ,  0.069696, date1
N_%          , TGI        , 100, -0.258358,  0.009450,   0.066749, -0.206185   ,   0.039580, -0.141946  ,  0.036807, date1
N_%          , ARVI       , 100, -0.215245,  0.031503,   0.046330, -0.216513   ,   0.030492, -0.145186  ,  0.032716, date1
N_%          , BNDVI      , 100, -0.265055,  0.007697,   0.070254, -0.271297   ,   0.006328, -0.182850  ,  0.007155, date1
