n,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,dCor,dCor_p,MI,element,index,date
100,-0.231500,0.020500,-0.228900,0.022000,-0.154100,0.023400,0.261500,,0.015030,N_%,NDVI,date1
100,-0.215700,0.031100,-0.241200,0.015600,-0.164600,0.015500,0.272900,,0.000000,N_%,NDRE,date1
100,-0.231600,0.020400,-0.250900,0.011800,-0.167500,0.013800,0.286300,,0.000000,N_%,GNDVI,date1
100,-0.187900,0.061200,-0.241200,0.015600,-0.164600,0.015500,0.270400,,0.000000,N_%,CIre,date1
100,-0.187500,0.061800,-0.250900,0.011800,-0.167500,0.013800,0.279800,,0.000000,N_%,CIgreen,date1
100,-0.231500,0.020500,-0.228900,0.022000,-0.154100,0.023400,0.261500,,0.015030,N_%,OSAVI,date1
100,-0.194100,0.053000,-0.199800,0.046300,-0.131000,0.054000,0.225700,,0.001440,N_%,EVI,date1
100,-0.220400,0.027600,-0.228900,0.022000,-0.154100,0.023400,0.260800,,0.000000,N_%,EVI2,date1
100,0.121400,0.229100,0.112100,0.266700,0.081200,0.232300,0.207800,,0.000000,N_%,CCCI,date1
100,-0.014400,0.887100,-0.018800,0.852400,-0.012400,0.855800,0.165800,,0.000000,N_%,MTCI,date1
100,-0.040300,0.690200,-0.018800,0.852400,-0.012400,0.855800,0.170800,,0.006634,N_%,Datt,date1
100,-0.231500,0.020500,-0.228900,0.022000,-0.154100,0.023400,0.261500,,0.015030,N_%,SAVI,date1
100,-0.204900,0.040800,-0.228900,0.022000,-0.154100,0.023400,0.258800,,0.000000,N_%,WDRVI,date1
100,0.199900,0.046100,0.204500,0.041200,0.133800,0.049000,0.218800,,0.000000,N_%,SIPI,date1
100,0.217300,0.029900,0.194800,0.052200,0.124500,0.067000,0.230000,,0.000000,N_%,PSRI,date1
100,-0.177500,0.077200,-0.265400,0.007600,-0.180000,0.008100,0.288400,,0.000176,N_%,ARI,date1
100,-0.246500,0.013400,-0.203800,0.041900,-0.143600,0.034700,0.239900,,0.000000,N_%,TCARI,date1
100,-0.181900,0.070100,-0.207500,0.038300,-0.144400,0.033700,0.240600,,0.000000,N_%,MCARI,date1
100,0.051600,0.610400,0.109300,0.279100,0.070700,0.298600,0.186700,,0.000000,N_%,TCARI_OSAVI,date1
100,-0.171100,0.088700,-0.162100,0.107200,-0.108700,0.109700,0.211300,,0.000000,N_%,MCARI_OSAVI,date1
100,-0.150300,0.135600,-0.228900,0.022000,-0.154100,0.023400,0.244700,,0.000000,N_%,SR,date1
100,-0.234200,0.019000,-0.230900,0.020800,-0.154900,0.022700,0.265100,,0.000000,N_%,DVI,date1
100,-0.235600,0.018300,-0.239000,0.016600,-0.158600,0.019700,0.262900,,0.000000,N_%,RDVI,date1
