node_a,node_b,partial_corr
N_%,K_%,0.1453
N_%,Ca_%,0.1192
N_%,Mg_%,0.0055
N_%,S_%,0.3461
N_%,Нитраты_мг_кг,0.1404
N_%,Mn_мг_кг,-0.0853
N_%,Zn_мг_кг,0.2573
P_%,K_%,0.3179
P_%,S_%,0.0123
P_%,Нитраты_мг_кг,0.0616
P_%,Mn_мг_кг,-0.0603
P_%,Cu_мг_кг,0.1356
P_%,Zn_мг_кг,0.2207
P_%,TCARI_OSAVI,0.0932
K_%,S_%,0.1001
K_%,Нитраты_мг_кг,0.1466
K_%,Mn_мг_кг,-0.0037
K_%,Zn_мг_кг,0.1297
Ca_%,Mg_%,0.0071
Ca_%,Cu_мг_кг,-0.0406
Ca_%,SRPI,0.0233
Ca_%,NPCI,-0.0349
Mg_%,Mn_мг_кг,-0.0436
S_%,Mn_мг_кг,-0.1319
S_%,Zn_мг_кг,0.1058
Нитраты_мг_кг,Fe_мг_кг,0.1238
Нитраты_мг_кг,Zn_мг_кг,0.1588
Fe_мг_кг,Co_мг_кг,0.1101
Mn_мг_кг,CVI,0.0873
Mn_мг_кг,TCARI_OSAVI,-0.0827
Cu_мг_кг,Zn_мг_кг,0.0361
Cu_мг_кг,Co_мг_кг,0.1554
Cu_мг_кг,RTVIcore,-0.0025
Cu_мг_кг,CIre,-0.0068
Cu_мг_кг,SRre,-0.0068
Zn_мг_кг,TCARI_OSAVI,0.0633
SRPI,NPCI,-0.4930
SRPI,MCARI_OSAVI,0.0386
SRPI,SR,0.0696
SRPI,NIRv,0.0003
SRPI,CVI,-0.0665
SRPI,MCARI,0.0632
SRPI,RDVI,0.0003
SRPI,MSR,0.0513
SRPI,VARI,0.0950
NPCI,MCARI_OSAVI,-0.0364
NPCI,SR,-0.0587
NPCI,NIRv,-0.0061
NPCI,CVI,0.0583
NPCI,MCARI,-0.0568
NPCI,RDVI,-0.0096
NPCI,MSR,-0.0486
NPCI,VARI,-0.0957
RTVIcore,DVI,0.1672
RTVIcore,SR,0.0363
RTVIcore,NIRv,0.1358
RTVIcore,MCARI,0.0216
RTVIcore,RDVI,0.1012
RTVIcore,TGI,0.0414
RTVIcore,MSR,0.0365
RTVIcore,CIre,0.1116
RTVIcore,SRre,0.1117
RTVIcore,NLI,0.0988
RTVIcore,VARI,0.0103
RTVIcore,CIgreen,0.0618
MCARI_OSAVI,DVI,0.0928
MCARI_OSAVI,SR,0.0306
MCARI_OSAVI,NIRv,0.0809
MCARI_OSAVI,CVI,-0.1534
MCARI_OSAVI,MCARI,0.2011
MCARI_OSAVI,RDVI,0.0433
MCARI_OSAVI,TGI,0.2096
MCARI_OSAVI,MSR,0.0184
MCARI_OSAVI,NLI,0.0200
MCARI_OSAVI,VARI,0.0930
DVI,SR,0.0154
DVI,NIRv,0.1340
DVI,MCARI,0.0649
DVI,RDVI,0.1134
DVI,TGI,0.1344
DVI,MSR,0.0337
DVI,CIre,0.0152
DVI,SRre,0.0160
DVI,NLI,0.1400
DVI,VARI,0.0340
DVI,CIgreen,0.0152
SR,NIRv,0.0621
SR,MCARI,0.1141
SR,ARI,0.0146
SR,CRI700,0.1356
SR,RDVI,0.0470
SR,MSR,0.1202
SR,CIre,0.0825
SR,SRre,0.0791
SR,VARI,0.1042
SR,CIgreen,0.0924
NIRv,MCARI,0.0814
NIRv,RDVI,0.0979
NIRv,TGI,0.0957
NIRv,MSR,0.0608
NIRv,CIre,0.0351
NIRv,SRre,0.0360
NIRv,NLI,0.0968
NIRv,VARI,0.0602
NIRv,CIgreen,0.0401
CVI,MCARI,-0.0023
MCARI,CRI700,0.0276
MCARI,RDVI,0.0584
MCARI,TGI,0.1145
MCARI,MSR,0.0863
MCARI,NLI,0.0065
MCARI,VARI,0.1116
ARI,CRI700,0.2332
ARI,TCARI_OSAVI,-0.2965
ARI,MSR,0.0368
ARI,CIre,0.0815
ARI,SRre,0.0808
ARI,CIgreen,0.1587
CRI700,RDVI,0.0152
CRI700,TCARI_OSAVI,-0.0733
CRI700,MSR,0.1168
CRI700,CIre,0.0862
CRI700,SRre,0.0864
CRI700,VARI,0.0846
CRI700,CIgreen,0.1137
RDVI,TGI,0.0901
RDVI,MSR,0.0681
RDVI,CIre,0.0539
RDVI,SRre,0.0553
RDVI,NLI,0.1447
RDVI,VARI,0.0722
RDVI,CIgreen,0.0646
TCARI_OSAVI,CIre,-0.0044
TCARI_OSAVI,SRre,-0.0044
TGI,MSR,0.0044
TGI,NLI,0.1335
TGI,VARI,0.0864
MSR,CIre,0.0769
MSR,SRre,0.0779
MSR,NLI,0.0460
MSR,VARI,0.1014
MSR,CIgreen,0.0901
CIre,SRre,0.2090
CIre,NLI,0.0493
CIre,VARI,0.0189
CIre,CIgreen,0.1481
SRre,NLI,0.0524
SRre,VARI,0.0228
SRre,CIgreen,0.1509
NLI,VARI,0.0524
NLI,CIgreen,0.0682
VARI,CIgreen,0.0350
