index,date1 | Ca,date1 | Co,date1 | Cu,date1 | Fe,date1 | K,date1 | Mg,date1 | Mn,date1 | N,date1 | NO₃,date1 | P,date1 | S,date1 | Zn,date2 | Ca,date2 | Co,date2 | Cu,date2 | Fe,date2 | K,date2 | Mg,date2 | Mn,date2 | N,date2 | NO₃,date2 | P,date2 | S,date2 | Zn
CCCI,0.2887,0.1907,0.1662,0.1581,0.2437,0.1509,0.2556,0.2078,0.2295,0.2334,0.1909,0.1285,0.1696,0.2601,0.2082,0.1991,0.3375,0.3055,0.4358,0.1821,0.2437,0.3764,0.2159,0.1947
NLI,0.4347,0.2330,0.2500,0.1494,0.1689,0.1456,0.1914,0.2586,0.1381,0.1689,0.1739,0.2216,0.1695,0.3270,0.3016,0.2087,0.2057,0.1408,0.1532,0.2004,0.2257,0.2270,0.2053,0.2440
RENDVI,0.4309,0.2592,0.2681,0.1450,0.1516,0.1456,0.1965,0.2491,0.1379,0.1730,0.1791,0.2287,0.1740,0.2911,0.2956,0.2299,0.1859,0.1577,0.1510,0.2479,0.2349,0.1951,0.2187,0.2966
RDVI,0.4270,0.2493,0.2677,0.1485,0.1589,0.1497,0.2043,0.2629,0.1456,0.1662,0.1852,0.2338,0.1749,0.3108,0.3029,0.2120,0.2075,0.1393,0.1390,0.2141,0.2409,0.2249,0.2196,0.2679
Datt,0.1802,0.1632,0.1470,0.1978,0.2795,0.2134,0.3253,0.1708,0.2966,0.2845,0.2221,0.1395,0.1512,0.2585,0.2698,0.2143,0.3868,0.3008,0.4267,0.2610,0.2639,0.4032,0.2990,0.2829
TCARI,0.4258,0.1764,0.2265,0.1350,0.1841,0.1467,0.2014,0.2399,0.1236,0.1864,0.1455,0.2008,0.1756,0.3206,0.2597,0.1507,0.2552,0.2288,0.2516,0.1426,0.2048,0.2873,0.1560,0.1709
MSAVI2,0.4252,0.2298,0.2612,0.1442,0.1529,0.1599,0.2138,0.2611,0.1477,0.1744,0.1937,0.2362,0.1692,0.3089,0.3157,0.2372,0.1961,0.1625,0.1436,0.2613,0.2347,0.1974,0.2246,0.2953
OSAVI,0.4243,0.2422,0.2642,0.1457,0.1539,0.1584,0.2107,0.2615,0.1508,0.1797,0.1950,0.2359,0.1661,0.3011,0.3165,0.2380,0.1975,0.1562,0.1393,0.2661,0.2386,0.1967,0.2304,0.3041
SAVI,0.4243,0.2422,0.2642,0.1457,0.1539,0.1584,0.2107,0.2615,0.1508,0.1797,0.1950,0.2359,0.1661,0.3011,0.3165,0.2380,0.1975,0.1562,0.1393,0.2661,0.2386,0.1967,0.2304,0.3041
NDVI,0.4243,0.2422,0.2642,0.1457,0.1539,0.1584,0.2107,0.2615,0.1508,0.1797,0.1950,0.2359,0.1661,0.3011,0.3165,0.2380,0.1975,0.1562,0.1393,0.2661,0.2386,0.1967,0.2304,0.3041
BNDVI,0.4239,0.2336,0.2493,0.1512,0.1683,0.1493,0.2084,0.3034,0.1792,0.1949,0.2364,0.2187,0.1507,0.3102,0.3277,0.2496,0.2199,0.1642,0.1280,0.2900,0.2543,0.2085,0.2523,0.3251
GLI,0.4224,0.2563,0.2732,0.1432,0.1504,0.1509,0.2039,0.2578,0.1382,0.1733,0.1798,0.2342,0.1701,0.2851,0.2907,0.2386,0.1911,0.1664,0.1445,0.2563,0.2445,0.1970,0.2304,0.3035
PSRI,0.4222,0.2316,0.2611,0.1324,0.1512,0.1565,0.1991,0.2300,0.1311,0.1668,0.1598,0.2356,0.1805,0.2902,0.2831,0.2202,0.1869,0.1717,0.1662,0.2348,0.2337,0.1930,0.2141,0.2785
ARVI,0.4220,0.2462,0.2647,0.1433,0.1501,0.1623,0.2079,0.2445,0.1445,0.1752,0.1816,0.2381,0.1707,0.2957,0.3100,0.2266,0.1906,0.1549,0.1408,0.2581,0.2349,0.1911,0.2241,0.2970
DVI,0.4220,0.2567,0.2661,0.1454,0.1727,0.1418,0.1984,0.2651,0.1420,0.1613,0.1766,0.2260,0.1699,0.3114,0.3026,0.2075,0.2232,0.1407,0.1477,0.1983,0.2548,0.2485,0.2286,0.2711
EVI2,0.4217,0.2538,0.2680,0.1468,0.1558,0.1572,0.2084,0.2608,0.1538,0.1839,0.1970,0.2362,0.1643,0.2948,0.3177,0.2391,0.2000,0.1525,0.1362,0.2699,0.2426,0.1973,0.2358,0.3120
GRNDVI,0.4205,0.2513,0.2629,0.1519,0.1639,0.1555,0.2144,0.2709,0.1643,0.1925,0.2090,0.2334,0.1597,0.3038,0.3321,0.2427,0.2154,0.1530,0.1424,0.2791,0.2485,0.2083,0.2459,0.3210
NIRv,0.4202,0.2655,0.2714,0.1460,0.1661,0.1419,0.1989,0.2631,0.1451,0.1640,0.1815,0.2305,0.1714,0.3063,0.3033,0.2133,0.2168,0.1376,0.1399,0.2104,0.2532,0.2359,0.2296,0.2783
RGRI,0.4198,0.2494,0.2675,0.1316,0.1536,0.1569,0.1966,0.2314,0.1349,0.1718,0.1638,0.2354,0.1770,0.2859,0.2862,0.2223,0.1863,0.1660,0.1598,0.2414,0.2361,0.1931,0.2173,0.2842
VARI,0.4186,0.2596,0.2708,0.1342,0.1549,0.1539,0.1966,0.2322,0.1402,0.1719,0.1681,0.2370,0.1789,0.2796,0.2859,0.2215,0.1857,0.1619,0.1559,0.2424,0.2393,0.1898,0.2230,0.2932
EVI,0.4177,0.2477,0.2576,0.1413,0.1459,0.1645,0.2027,0.2257,0.1417,0.1645,0.1718,0.2371,0.1787,0.2904,0.2877,0.2019,0.1819,0.1470,0.1506,0.2449,0.2300,0.1814,0.2216,0.2786
WDRVI,0.4168,0.2672,0.2736,0.1476,0.1585,0.1560,0.2064,0.2588,0.1573,0.1881,0.1997,0.2373,0.1639,0.2887,0.3197,0.2410,0.2039,0.1504,0.1339,0.2736,0.2476,0.1995,0.2421,0.3211
NGRDI,0.4167,0.2652,0.2734,0.1332,0.1561,0.1555,0.1960,0.2318,0.1400,0.1737,0.1682,0.2365,0.1759,0.2778,0.2869,0.2241,0.1855,0.1594,0.1544,0.2446,0.2398,0.1904,0.2245,0.2961
GNDVI,0.4163,0.2497,0.2511,0.1561,0.1780,0.1505,0.2224,0.2863,0.1843,0.2057,0.2288,0.2227,0.1478,0.3157,0.3544,0.2412,0.2384,0.1542,0.1496,0.2901,0.2531,0.2265,0.2576,0.3349
MTCI,0.1796,0.1688,0.1501,0.1982,0.2734,0.2096,0.3269,0.1658,0.2883,0.2841,0.2213,0.1418,0.1574,0.2616,0.2732,0.2273,0.3866,0.3026,0.4150,0.2602,0.2698,0.4018,0.2942,0.2989
BGI,0.4142,0.2289,0.2440,0.1443,0.1678,0.1778,0.1913,0.3218,0.1631,0.1722,0.2342,0.2130,0.1490,0.2953,0.2957,0.2632,0.2082,0.1970,0.1240,0.2834,0.2619,0.2019,0.2532,0.3201
TCARI_OSAVI,0.1379,0.1607,0.1336,0.1847,0.3353,0.2505,0.3200,0.1867,0.3025,0.3584,0.2536,0.1396,0.1600,0.2909,0.2790,0.2352,0.3066,0.1832,0.2705,0.3505,0.2407,0.3259,0.2830,0.4127
MSR,0.4124,0.2780,0.2803,0.1479,0.1618,0.1559,0.2067,0.2566,0.1604,0.1909,0.2029,0.2403,0.1707,0.2855,0.3257,0.2458,0.2133,0.1532,0.1347,0.2774,0.2582,0.2079,0.2525,0.3361
TGI,0.4106,0.2002,0.2466,0.1377,0.1732,0.1498,0.2063,0.2475,0.1276,0.1970,0.1451,0.2104,0.1715,0.3036,0.2501,0.1950,0.2209,0.1809,0.2104,0.1500,0.2285,0.2754,0.1855,0.2069
SIPI,0.4101,0.2120,0.2522,0.1376,0.1531,0.1703,0.2119,0.2188,0.1297,0.1572,0.1632,0.2349,0.1852,0.3165,0.2948,0.2069,0.1885,0.1738,0.1699,0.2311,0.2181,0.1960,0.2009,0.2532
RTVIcore,0.4096,0.2602,0.2665,0.1555,0.1664,0.1488,0.2045,0.2750,0.1682,0.1686,0.2034,0.2346,0.1677,0.3110,0.3294,0.2185,0.2260,0.1342,0.1332,0.2377,0.2656,0.2320,0.2665,0.3041
MCARI,0.4084,0.2944,0.2832,0.1462,0.1669,0.1409,0.1945,0.2406,0.1343,0.1712,0.1687,0.2228,0.1724,0.2840,0.2701,0.2067,0.1987,0.1346,0.1626,0.1891,0.2389,0.2296,0.2088,0.2752
LCI,0.4077,0.2439,0.2565,0.1532,0.1688,0.1642,0.2282,0.2718,0.1830,0.1959,0.2168,0.2368,0.1507,0.3104,0.3483,0.2499,0.2283,0.1543,0.1500,0.2935,0.2599,0.2194,0.2605,0.3318
CIgreen,0.4047,0.2789,0.2642,0.1591,0.1869,0.1498,0.2170,0.2798,0.1928,0.2188,0.2349,0.2254,0.1555,0.3057,0.3656,0.2512,0.2579,0.1599,0.1538,0.3000,0.2722,0.2426,0.2757,0.3595
