index,date1 | Ca,date1 | Co,date1 | Cu,date1 | Fe,date1 | K,date1 | Mg,date1 | Mn,date1 | N,date1 | NO₃,date1 | P,date1 | S,date1 | Zn,date2 | Ca,date2 | Co,date2 | Cu,date2 | Fe,date2 | K,date2 | Mg,date2 | Mn,date2 | N,date2 | NO₃,date2 | P,date2 | S,date2 | Zn
RENDVI,-0.3199,0.1094,0.0761,0.0127,0.0433,0.0022,0.0200,-0.1472,-0.0012,0.0302,-0.0624,0.0417,0.0796,-0.0668,-0.1782,-0.1398,0.0220,-0.0196,-0.0641,-0.1218,-0.1284,0.0727,-0.0713,-0.1452
MCARI,-0.3179,0.1094,0.0830,0.0107,0.0797,-0.0366,-0.0253,-0.1444,0.0239,0.0709,-0.0445,0.0518,0.0664,-0.0978,-0.1468,-0.1033,0.0763,-0.0554,-0.0895,-0.0607,-0.0795,0.1386,-0.0260,-0.0685
NIRv,-0.3162,0.1083,0.0774,0.0099,0.0502,-0.0249,0.0196,-0.1626,-0.0065,0.0458,-0.0669,0.0538,0.0585,-0.1055,-0.1593,-0.1055,0.0444,-0.0438,-0.0521,-0.0749,-0.0958,0.1179,-0.0509,-0.0784
TCARI,-0.3162,0.0755,0.0774,0.0083,0.0935,-0.0629,-0.0694,-0.1436,0.0174,0.0955,-0.0524,0.0401,0.0365,-0.1210,-0.0896,-0.0183,0.1465,-0.1331,-0.1601,0.0138,-0.0297,0.1979,-0.0033,0.0302
Datt,0.0528,-0.0022,-0.0683,-0.0204,-0.1635,0.1273,0.2660,-0.0124,-0.1058,-0.1913,-0.0532,-0.0028,-0.0422,0.0319,-0.1511,-0.0458,-0.2706,0.1620,0.3133,-0.1584,-0.1544,-0.2756,-0.1659,-0.1611
MTCI,0.0528,-0.0022,-0.0683,-0.0204,-0.1635,0.1273,0.2660,-0.0124,-0.1058,-0.1913,-0.0532,-0.0028,-0.0422,0.0319,-0.1511,-0.0458,-0.2706,0.1620,0.3133,-0.1584,-0.1544,-0.2756,-0.1659,-0.1611
CCCI,0.2058,-0.0711,-0.0954,-0.0661,-0.1473,0.0800,0.1927,0.0812,-0.0726,-0.1601,0.0029,-0.0304,-0.0792,0.1055,0.0054,0.0453,-0.2215,0.1477,0.3128,-0.0314,-0.0372,-0.2664,-0.0860,-0.0448
NLI,-0.3126,0.1083,0.0701,0.0087,0.0514,-0.0204,0.0208,-0.1549,-0.0114,0.0491,-0.0603,0.0607,0.0633,-0.1094,-0.1761,-0.1196,0.0263,-0.0278,-0.0413,-0.0925,-0.1174,0.0955,-0.0624,-0.1038
GLI,-0.3105,0.0974,0.0696,0.0107,0.0457,-0.0022,0.0148,-0.1537,-0.0118,0.0413,-0.0794,0.0328,0.0699,-0.0629,-0.1761,-0.1549,0.0203,-0.0356,-0.0594,-0.1369,-0.1469,0.0701,-0.0829,-0.1477
ARVI,-0.3101,0.1007,0.0615,0.0095,0.0388,0.0221,0.0419,-0.1452,-0.0069,0.0195,-0.0632,0.0429,0.0827,-0.0823,-0.1933,-0.1497,-0.0125,-0.0058,-0.0404,-0.1403,-0.1465,0.0340,-0.0913,-0.1568
