index,date1 | Ca,date1 | Co,date1 | Cu,date1 | Fe,date1 | K,date1 | Mg,date1 | Mn,date1 | N,date1 | NO₃,date1 | P,date1 | S,date1 | Zn,date2 | Ca,date2 | Co,date2 | Cu,date2 | Fe,date2 | K,date2 | Mg,date2 | Mn,date2 | N,date2 | NO₃,date2 | P,date2 | S,date2 | Zn
MSAVI2,-0.4253,0.2031,0.2039,-0.0400,0.0595,0.0723,0.1402,-0.2388,-0.0304,0.0180,-0.0397,0.1666,0.1102,-0.2099,-0.1428,-0.1763,0.0084,-0.0705,-0.0989,-0.1739,0.0082,0.0629,-0.0572,-0.1003
SIPI,0.4243,-0.1510,-0.2059,-0.0077,-0.1025,-0.1140,-0.1505,0.1999,0.0041,-0.0540,0.0264,-0.1869,-0.1092,0.2189,0.1470,0.1376,-0.0659,0.0967,0.1247,0.1241,-0.0300,-0.0986,0.0275,0.0822
TCARI,-0.4224,0.1306,0.1753,0.0061,0.1471,-0.0047,0.0119,-0.2465,0.0237,0.1115,-0.0448,0.1332,0.0270,-0.2299,-0.0603,0.0336,0.1708,-0.2329,-0.2207,0.0571,0.0875,0.2754,0.0184,-0.0093
NLI,-0.4195,0.2311,0.2017,-0.0317,0.1204,0.0351,0.0995,-0.2316,0.0042,0.0767,-0.0022,0.1633,0.0699,-0.2416,-0.1030,-0.1309,0.0578,-0.0580,-0.1236,-0.0744,0.0721,0.1336,0.0366,-0.0167
PSRI,0.4151,-0.2091,-0.2133,0.0425,-0.0922,-0.0888,-0.0923,0.2173,-0.0127,-0.0702,-0.0017,-0.1720,-0.1458,0.1829,0.1257,0.1643,-0.0499,0.0792,0.1464,0.1321,-0.0413,-0.1032,0.0254,0.0804
OSAVI,-0.4119,0.2297,0.2039,-0.0528,0.0599,0.0683,0.1307,-0.2315,-0.0192,0.0208,-0.0148,0.1616,0.1208,-0.1997,-0.1310,-0.1842,-0.0007,-0.0449,-0.0947,-0.1720,0.0113,0.0550,-0.0524,-0.0889
SAVI,-0.4119,0.2297,0.2039,-0.0528,0.0599,0.0683,0.1307,-0.2315,-0.0192,0.0208,-0.0148,0.1616,0.1208,-0.1997,-0.1309,-0.1842,-0.0007,-0.0449,-0.0947,-0.1720,0.0113,0.0550,-0.0524,-0.0889
NDVI,-0.4119,0.2297,0.2039,-0.0528,0.0599,0.0683,0.1307,-0.2315,-0.0192,0.0208,-0.0148,0.1616,0.1208,-0.1996,-0.1310,-0.1842,-0.0007,-0.0449,-0.0947,-0.1720,0.0113,0.0549,-0.0524,-0.0889
BNDVI,-0.4101,0.2195,0.1883,-0.0511,0.0361,0.0173,0.1376,-0.2651,-0.0479,-0.0060,-0.0648,0.1375,0.0802,-0.2110,-0.1375,-0.2064,-0.0344,-0.0747,-0.0666,-0.2199,-0.0243,0.0383,-0.0830,-0.1116
ARVI,-0.4071,0.2366,0.2079,-0.0552,0.0690,0.0858,0.1259,-0.2152,-0.0048,0.0323,0.0089,0.1690,0.1383,-0.1934,-0.1242,-0.1757,0.0121,-0.0292,-0.1035,-0.1509,0.0267,0.0602,-0.0383,-0.0758
EVI,-0.4048,0.2367,0.2071,-0.0602,0.0783,0.1043,0.1195,-0.1941,0.0172,0.0464,0.0360,0.1777,0.1708,-0.1885,-0.1099,-0.1513,0.0384,-0.0113,-0.1138,-0.1098,0.0539,0.0684,-0.0195,-0.0546
RDVI,-0.4042,0.2520,0.2140,-0.0516,0.0953,0.0457,0.1082,-0.2356,0.0049,0.0595,0.0101,0.1650,0.1368,-0.2173,-0.0342,-0.1584,0.0902,-0.0509,-0.1132,-0.0672,0.0910,0.1753,0.0270,0.0692
GNDVI,-0.4007,0.2369,0.1922,-0.0601,0.0402,0.0503,0.1585,-0.2316,-0.0329,-0.0103,-0.0197,0.1531,0.1014,-0.2140,-0.1170,-0.2116,-0.0400,-0.0006,-0.0360,-0.1959,-0.0017,0.0071,-0.0610,-0.0612
GRNDVI,-0.3996,0.2453,0.2008,-0.0603,0.0562,0.0597,0.1374,-0.2253,-0.0154,0.0147,-0.0015,0.1573,0.1189,-0.2022,-0.1161,-0.2014,-0.0155,-0.0167,-0.0713,-0.1785,0.0112,0.0368,-0.0495,-0.0648
TGI,-0.3965,0.1931,0.2098,-0.0202,0.1321,0.0126,0.0313,-0.2584,0.0159,0.1187,-0.0344,0.1475,0.1079,-0.1951,-0.0364,-0.1015,0.1560,-0.1742,-0.2040,-0.0277,0.0960,0.2684,0.0313,0.0315
NDRE,-0.3962,0.2157,0.1910,-0.0881,0.0319,0.0835,0.1802,-0.2157,-0.0289,-0.0164,0.0022,0.1693,0.1097,-0.2005,-0.1108,-0.2345,-0.0550,0.0369,0.0030,-0.1983,0.0081,-0.0348,-0.0604,-0.0359
LCI,-0.3956,0.2285,0.1950,-0.0818,0.0393,0.0787,0.1635,-0.2184,-0.0238,-0.0053,0.0045,0.1656,0.1157,-0.1984,-0.1176,-0.2220,-0.0434,0.0178,-0.0255,-0.1932,0.0068,-0.0105,-0.0607,-0.0546
EVI2,-0.3951,0.2524,0.2052,-0.0602,0.0650,0.0650,0.1238,-0.2204,-0.0050,0.0288,0.0098,0.1589,0.1296,-0.1919,-0.1165,-0.1924,-0.0034,-0.0236,-0.0907,-0.1669,0.0168,0.0526,-0.0428,-0.0709
RGRI,0.3948,-0.2429,-0.2184,0.0474,-0.0952,-0.0862,-0.0876,0.2092,-0.0199,-0.0771,-0.0234,-0.1688,-0.1501,0.1764,0.1091,0.1705,-0.0470,0.0578,0.1436,0.1291,-0.0438,-0.1069,0.0164,0.0620
RENDVI,-0.3891,0.2695,0.2124,-0.0415,0.0881,0.0528,0.0922,-0.2170,0.0141,0.0599,0.0166,0.1538,0.1453,-0.1857,-0.0992,-0.1752,0.0366,-0.0459,-0.1344,-0.1352,0.0372,0.1067,-0.0141,-0.0535
DVI,-0.3891,0.2707,0.2195,-0.0500,0.1299,0.0211,0.0834,-0.2342,0.0299,0.0969,0.0369,0.1649,0.1429,-0.2305,0.0468,-0.1433,0.1507,-0.0490,-0.1223,0.0079,0.1435,0.2434,0.0793,0.1886
VARI,-0.3831,0.2612,0.2192,-0.0556,0.0985,0.0814,0.0874,-0.1997,0.0347,0.0808,0.0433,0.1694,0.1713,-0.1706,-0.0863,-0.1781,0.0573,-0.0311,-0.1365,-0.1101,0.0646,0.1130,0.0093,-0.0247
RTVIcore,-0.3775,0.2668,0.2127,-0.0845,0.1005,0.0410,0.1268,-0.2217,0.0208,0.0632,0.0536,0.1738,0.1542,-0.2268,0.0600,-0.1781,0.1188,0.0058,-0.0576,-0.0134,0.1442,0.1886,0.0756,0.2212
SRre,-0.3754,0.2368,0.1893,-0.1023,0.0521,0.0684,0.1682,-0.1879,0.0145,0.0064,0.0530,0.1662,0.1332,-0.1948,-0.0551,-0.2499,-0.0209,0.0632,-0.0025,-0.1589,0.0540,-0.0110,-0.0060,0.0520
CIre,-0.3754,0.2368,0.1893,-0.1023,0.0521,0.0684,0.1682,-0.1879,0.0145,0.0064,0.0530,0.1662,0.1332,-0.1948,-0.0551,-0.2499,-0.0209,0.0632,-0.0025,-0.1589,0.0540,-0.0110,-0.0060,0.0520
NIRv,-0.3749,0.2827,0.2180,-0.0583,0.1154,0.0299,0.0886,-0.2233,0.0305,0.0849,0.0469,0.1619,0.1537,-0.2158,0.0330,-0.1603,0.1288,-0.0347,-0.1142,-0.0196,0.1302,0.2152,0.0657,0.1626
WDRVI,-0.3727,0.2750,0.2077,-0.0651,0.0732,0.0618,0.1178,-0.2049,0.0126,0.0412,0.0368,0.1576,0.1403,-0.1849,-0.0955,-0.2021,0.0010,-0.0013,-0.0869,-0.1560,0.0280,0.0566,-0.0249,-0.0404
NGRDI,-0.3714,0.2716,0.2217,-0.0528,0.0992,0.0824,0.0853,-0.1968,0.0328,0.0826,0.0462,0.1680,0.1661,-0.1661,-0.0874,-0.1804,0.0500,-0.0280,-0.1352,-0.1163,0.0559,0.1110,0.0060,-0.0304
GLI,-0.3707,0.2684,0.2143,-0.0480,0.0847,0.0481,0.0828,-0.2247,0.0086,0.0689,0.0084,0.1493,0.1345,-0.1706,-0.1021,-0.1902,0.0236,-0.0568,-0.1279,-0.1553,0.0214,0.1009,-0.0268,-0.0667
BGI,0.3692,-0.2338,-0.1829,0.0404,-0.0449,0.0391,-0.0795,0.2843,0.0435,-0.0287,0.0862,-0.1020,-0.0643,0.1841,0.1255,0.2085,0.0249,0.1286,0.1033,0.2303,0.0425,-0.0810,0.0905,0.1300
MSR,-0.3551,0.2902,0.2135,-0.0656,0.0829,0.0604,0.1170,-0.1918,0.0273,0.0548,0.0557,0.1606,0.1646,-0.1821,-0.0476,-0.2170,0.0367,0.0225,-0.0862,-0.1202,0.0692,0.0880,0.0258,0.0425
CIgreen,-0.3504,0.2850,0.1966,-0.0754,0.0687,0.0382,0.1366,-0.1875,0.0208,0.0311,0.0571,0.1474,0.1301,-0.2011,-0.0336,-0.2345,0.0000,0.0445,-0.0388,-0.1472,0.0506,0.0394,0.0014,0.0592
CCCI,0.2573,-0.1286,-0.1344,-0.1443,-0.2087,0.0561,0.1354,0.1214,-0.1207,-0.2171,0.0291,-0.0592,-0.0599,0.1298,0.0419,-0.0889,-0.2284,0.3005,0.3466,-0.0848,-0.0633,-0.3321,-0.0726,0.0849
ARI,-0.3445,0.2432,0.1624,-0.0531,-0.0073,0.0531,0.1688,-0.1775,-0.0390,-0.0607,-0.0142,0.1148,0.0207,-0.1451,-0.1623,-0.2095,-0.1744,0.0459,-0.0040,-0.2873,-0.1262,-0.2202,-0.1547,-0.2297
MCARI,-0.2867,0.3344,0.2291,-0.0233,0.1215,0.0438,0.0570,-0.1819,0.0398,0.1122,0.0619,0.1498,0.1769,-0.1701,0.0395,-0.1580,0.1455,-0.0249,-0.1591,-0.0106,0.1281,0.2378,0.0962,0.1434
MCARI_OSAVI,-0.2791,0.3300,0.2259,0.0160,0.1876,0.0050,-0.0071,-0.1711,0.0874,0.1823,0.0802,0.1377,0.1676,-0.1786,0.0634,-0.1258,0.1954,-0.0623,-0.2078,0.0418,0.1544,0.3035,0.1295,0.1756
SR,-0.2939,0.3215,0.2158,-0.0685,0.1012,0.0527,0.1055,-0.1503,0.0641,0.0838,0.1063,0.1572,0.1948,-0.1702,0.0314,-0.2285,0.0889,0.0609,-0.0790,-0.0577,0.1304,0.1299,0.1030,0.1703
Datt,-0.0136,0.0180,-0.0044,-0.2002,-0.2028,0.1205,0.2580,-0.0403,-0.1680,-0.2408,0.0046,0.0539,0.0054,-0.0023,-0.0521,-0.1972,-0.2408,0.2692,0.2998,-0.2002,-0.0698,-0.3094,-0.1225,0.0107
CRI700,-0.3010,0.2884,0.1850,-0.0446,0.0301,0.0311,0.1200,-0.1884,-0.0240,0.0095,0.0023,0.1099,0.0273,-0.1497,-0.1620,-0.2441,-0.1571,0.0260,-0.0382,-0.2970,-0.1166,-0.1581,-0.1389,-0.2152
SRPI,-0.2906,0.2024,0.1992,-0.0692,0.1428,0.2186,0.0821,-0.0184,0.1472,0.1245,0.2147,0.2177,0.2830,-0.1247,0.0231,-0.1232,0.1777,0.1002,-0.1339,0.0869,0.2214,0.1562,0.1766,0.1894
NPCI,0.2903,-0.2002,-0.2007,0.0620,-0.1421,-0.2330,-0.0796,0.0152,-0.1375,-0.1229,-0.2096,-0.2191,-0.2777,0.1193,0.0077,0.1061,-0.1642,-0.0998,0.1449,-0.0809,-0.2043,-0.1420,-0.1576,-0.1417
CVI,-0.2156,0.0863,0.0100,-0.0610,-0.1013,-0.0656,0.2235,-0.1503,-0.1280,-0.2010,-0.1046,0.0228,-0.1979,-0.0400,-0.0050,-0.0330,-0.2246,0.0913,0.2701,-0.1488,-0.1506,-0.2753,-0.1503,-0.0283
