index,date1 | Ca,date1 | Co,date1 | Cu,date1 | Fe,date1 | K,date1 | Mg,date1 | Mn,date1 | N,date1 | NO₃,date1 | P,date1 | S,date1 | Zn,date2 | Ca,date2 | Co,date2 | Cu,date2 | Fe,date2 | K,date2 | Mg,date2 | Mn,date2 | N,date2 | NO₃,date2 | P,date2 | S,date2 | Zn
Datt,0.0761,0.0044,-0.1072,-0.0193,-0.2505,0.2065,0.3885,-0.0188,-0.1577,-0.2703,-0.0888,0.0020,-0.0585,0.0583,-0.2136,-0.0679,-0.3938,0.2403,0.4592,-0.2237,-0.2194,-0.3882,-0.2284,-0.2238
MTCI,0.0761,0.0044,-0.1072,-0.0193,-0.2505,0.2065,0.3885,-0.0188,-0.1577,-0.2703,-0.0888,0.0020,-0.0585,0.0583,-0.2136,-0.0679,-0.3938,0.2403,0.4592,-0.2237,-0.2194,-0.3882,-0.2284,-0.2238
CCCI,0.2859,-0.1007,-0.1533,-0.1075,-0.2215,0.1194,0.2806,0.1121,-0.1249,-0.2275,-0.0036,-0.0418,-0.1210,0.1647,0.0131,0.0494,-0.3314,0.2222,0.4560,-0.0546,-0.0571,-0.3794,-0.1275,-0.0596
RENDVI,-0.4542,0.1666,0.1123,0.0186,0.0657,-0.0014,0.0289,-0.2215,-0.0158,0.0304,-0.0890,0.0472,0.1193,-0.1210,-0.2515,-0.2156,0.0254,-0.0285,-0.1023,-0.1936,-0.1957,0.0916,-0.1039,-0.2175
MCARI,-0.4531,0.1624,0.1262,0.0148,0.1215,-0.0511,-0.0424,-0.2075,0.0210,0.0978,-0.0619,0.0652,0.1068,-0.1563,-0.2104,-0.1566,0.1034,-0.0807,-0.1368,-0.1059,-0.1139,0.1921,-0.0395,-0.1143
NIRv,-0.4497,0.1640,0.1158,0.0150,0.0819,-0.0399,0.0175,-0.2396,-0.0269,0.0572,-0.0986,0.0665,0.0902,-0.1458,-0.2293,-0.1569,0.0616,-0.0660,-0.0761,-0.1207,-0.1452,0.1536,-0.0804,-0.1175
GLI,-0.4476,0.1386,0.1080,0.0175,0.0649,-0.0058,0.0199,-0.2310,-0.0297,0.0438,-0.1143,0.0379,0.1064,-0.1011,-0.2484,-0.2310,0.0231,-0.0558,-0.0960,-0.2136,-0.2165,0.0901,-0.1173,-0.2242
NLI,-0.4461,0.1634,0.1079,0.0142,0.0853,-0.0353,0.0215,-0.2290,-0.0291,0.0615,-0.0875,0.0745,0.0935,-0.1506,-0.2561,-0.1783,0.0344,-0.0438,-0.0654,-0.1523,-0.1694,0.1236,-0.0949,-0.1550
BNDVI,-0.4438,0.1394,0.0901,-0.0039,0.0016,-0.0558,0.1016,-0.2713,-0.0868,-0.0415,-0.1630,0.0173,0.0686,-0.1206,-0.3076,-0.2405,-0.0664,-0.0520,-0.0007,-0.2816,-0.2680,0.0057,-0.1769,-0.2846
BGI,0.4419,-0.1163,-0.0943,0.0172,-0.0091,0.1417,-0.0570,0.3024,0.1020,0.0009,0.1984,0.0270,-0.0612,0.1271,0.2618,0.2710,0.0189,0.1147,0.0610,0.2691,0.2666,-0.0743,0.1574,0.2628
GRNDVI,-0.4417,0.1635,0.0957,0.0098,0.0256,0.0086,0.0995,-0.2396,-0.0553,-0.0236,-0.1230,0.0536,0.1001,-0.1364,-0.2932,-0.2319,-0.0500,-0.0129,-0.0234,-0.2469,-0.2323,0.0106,-0.1463,-0.2567
DVI,-0.4414,0.1594,0.1128,0.0063,0.1037,-0.0618,-0.0053,-0.2309,-0.0200,0.0807,-0.0888,0.0741,0.0841,-0.1683,-0.2130,-0.1505,0.0774,-0.0740,-0.0842,-0.0948,-0.1390,0.1678,-0.0717,-0.0856
NDVI,-0.4411,0.1667,0.0974,0.0167,0.0427,0.0157,0.0709,-0.2289,-0.0361,0.0026,-0.1064,0.0488,0.1093,-0.1229,-0.2795,-0.2340,-0.0262,-0.0191,-0.0499,-0.2333,-0.2257,0.0361,-0.1414,-0.2483
