feature,element,pearson_r,p_value,abs_r
Blue_w1_mean,N_%,0.2894,0.0035,0.2894
Blue_w1_mean,P_%,0.0131,0.8968,0.0131
Blue_w1_mean,K_%,0.1384,0.1697,0.1384
Blue_w1_mean,Ca_%,0.3491,0.0004,0.3491
Blue_w1_mean,Mg_%,-0.1923,0.0553,0.1923
Blue_w1_mean,S_%,0.1337,0.1849,0.1337
Blue_w1_mean,Нитраты_мг_кг,0.1158,0.2511,0.1158
Blue_w1_mean,Fe_мг_кг,0.0288,0.7759,0.0288
Blue_w1_mean,Mn_мг_кг,-0.2173,0.0299,0.2173
Blue_w1_mean,Cu_мг_кг,-0.1752,0.0860,0.1752
Blue_w1_mean,Zn_мг_кг,-0.1642,0.1025,0.1642
Blue_w1_mean,Co_мг_кг,-0.0086,0.9474,0.0086
Blue_w1_std,N_%,,,
Blue_w1_std,P_%,,,
Blue_w1_std,K_%,,,
Blue_w1_std,Ca_%,,,
Blue_w1_std,Mg_%,,,
Blue_w1_std,S_%,,,
Blue_w1_std,Нитраты_мг_кг,,,
Blue_w1_std,Fe_мг_кг,,,
Blue_w1_std,Mn_мг_кг,,,
Blue_w1_std,Cu_мг_кг,,,
Blue_w1_std,Zn_мг_кг,,,
Blue_w1_std,Co_мг_кг,,,
Blue_w1_median,N_%,0.2894,0.0035,0.2894
Blue_w1_median,P_%,0.0131,0.8968,0.0131
Blue_w1_median,K_%,0.1384,0.1697,0.1384
Blue_w1_median,Ca_%,0.3491,0.0004,0.3491
Blue_w1_median,Mg_%,-0.1923,0.0553,0.1923
Blue_w1_median,S_%,0.1337,0.1849,0.1337
Blue_w1_median,Нитраты_мг_кг,0.1158,0.2511,0.1158
Blue_w1_median,Fe_мг_кг,0.0288,0.7759,0.0288
Blue_w1_median,Mn_мг_кг,-0.2173,0.0299,0.2173
Blue_w1_median,Cu_мг_кг,-0.1752,0.0860,0.1752
Blue_w1_median,Zn_мг_кг,-0.1642,0.1025,0.1642
Blue_w1_median,Co_мг_кг,-0.0086,0.9474,0.0086
Blue_w1_p25,N_%,0.2894,0.0035,0.2894
Blue_w1_p25,P_%,0.0131,0.8968,0.0131
Blue_w1_p25,K_%,0.1384,0.1697,0.1384
Blue_w1_p25,Ca_%,0.3491,0.0004,0.3491
Blue_w1_p25,Mg_%,-0.1923,0.0553,0.1923
Blue_w1_p25,S_%,0.1337,0.1849,0.1337
Blue_w1_p25,Нитраты_мг_кг,0.1158,0.2511,0.1158
Blue_w1_p25,Fe_мг_кг,0.0288,0.7759,0.0288
Blue_w1_p25,Mn_мг_кг,-0.2173,0.0299,0.2173
Blue_w1_p25,Cu_мг_кг,-0.1752,0.0860,0.1752
Blue_w1_p25,Zn_мг_кг,-0.1642,0.1025,0.1642
Blue_w1_p25,Co_мг_кг,-0.0086,0.9474,0.0086
Blue_w1_p75,N_%,0.2894,0.0035,0.2894
Blue_w1_p75,P_%,0.0131,0.8968,0.0131
Blue_w1_p75,K_%,0.1384,0.1697,0.1384
Blue_w1_p75,Ca_%,0.3491,0.0004,0.3491
Blue_w1_p75,Mg_%,-0.1923,0.0553,0.1923
Blue_w1_p75,S_%,0.1337,0.1849,0.1337
Blue_w1_p75,Нитраты_мг_кг,0.1158,0.2511,0.1158
Blue_w1_p75,Fe_мг_кг,0.0288,0.7759,0.0288
Blue_w1_p75,Mn_мг_кг,-0.2173,0.0299,0.2173
Blue_w1_p75,Cu_мг_кг,-0.1752,0.0860,0.1752
Blue_w1_p75,Zn_мг_кг,-0.1642,0.1025,0.1642
Blue_w1_p75,Co_мг_кг,-0.0086,0.9474,0.0086
Blue_w1_cv,N_%,,,
Blue_w1_cv,P_%,,,
Blue_w1_cv,K_%,,,
Blue_w1_cv,Ca_%,,,
Blue_w1_cv,Mg_%,,,
Blue_w1_cv,S_%,,,
Blue_w1_cv,Нитраты_мг_кг,,,
Blue_w1_cv,Fe_мг_кг,,,
Blue_w1_cv,Mn_мг_кг,,,
Blue_w1_cv,Cu_мг_кг,,,
Blue_w1_cv,Zn_мг_кг,,,
Blue_w1_cv,Co_мг_кг,,,
Blue_w1_range,N_%,,,
Blue_w1_range,P_%,,,
Blue_w1_range,K_%,,,
Blue_w1_range,Ca_%,,,
Blue_w1_range,Mg_%,,,
Blue_w1_range,S_%,,,
Blue_w1_range,Нитраты_мг_кг,,,
Blue_w1_range,Fe_мг_кг,,,
Blue_w1_range,Mn_мг_кг,,,
Blue_w1_range,Cu_мг_кг,,,
Blue_w1_range,Zn_мг_кг,,,
Blue_w1_range,Co_мг_кг,,,
Green_w1_mean,N_%,0.2658,0.0075,0.2658
Green_w1_mean,P_%,0.1257,0.2129,0.1257
Green_w1_mean,K_%,0.2321,0.0201,0.2321
Green_w1_mean,Ca_%,0.3052,0.0020,0.3052
Green_w1_mean,Mg_%,-0.3346,0.0007,0.3346
Green_w1_mean,S_%,0.1441,0.1527,0.1441
Green_w1_mean,Нитраты_мг_кг,0.2387,0.0168,0.2387
Green_w1_mean,Fe_мг_кг,0.0656,0.5165,0.0656
Green_w1_mean,Mn_мг_кг,-0.3352,0.0007,0.3352
Green_w1_mean,Cu_мг_кг,-0.2111,0.0379,0.2111
Green_w1_mean,Zn_мг_кг,-0.2037,0.0421,0.2037
Green_w1_mean,Co_мг_кг,-0.0276,0.8330,0.0276
Green_w1_std,N_%,,,
Green_w1_std,P_%,,,
Green_w1_std,K_%,,,
Green_w1_std,Ca_%,,,
Green_w1_std,Mg_%,,,
Green_w1_std,S_%,,,
Green_w1_std,Нитраты_мг_кг,,,
Green_w1_std,Fe_мг_кг,,,
Green_w1_std,Mn_мг_кг,,,
Green_w1_std,Cu_мг_кг,,,
Green_w1_std,Zn_мг_кг,,,
Green_w1_std,Co_мг_кг,,,
Green_w1_median,N_%,0.2658,0.0075,0.2658
Green_w1_median,P_%,0.1257,0.2129,0.1257
Green_w1_median,K_%,0.2321,0.0201,0.2321
Green_w1_median,Ca_%,0.3052,0.0020,0.3052
Green_w1_median,Mg_%,-0.3346,0.0007,0.3346
Green_w1_median,S_%,0.1441,0.1527,0.1441
Green_w1_median,Нитраты_мг_кг,0.2387,0.0168,0.2387
Green_w1_median,Fe_мг_кг,0.0656,0.5165,0.0656
Green_w1_median,Mn_мг_кг,-0.3352,0.0007,0.3352
Green_w1_median,Cu_мг_кг,-0.2111,0.0379,0.2111
Green_w1_median,Zn_мг_кг,-0.2037,0.0421,0.2037
Green_w1_median,Co_мг_кг,-0.0276,0.8330,0.0276
Green_w1_p25,N_%,0.2658,0.0075,0.2658
Green_w1_p25,P_%,0.1257,0.2129,0.1257
Green_w1_p25,K_%,0.2321,0.0201,0.2321
Green_w1_p25,Ca_%,0.3052,0.0020,0.3052
Green_w1_p25,Mg_%,-0.3346,0.0007,0.3346
