,Blue_w1_mean,Blue_w1_std,Blue_w1_median,Blue_w1_p25,Blue_w1_p75,Blue_w1_cv,Blue_w1_range,Green_w1_mean,Green_w1_std,Green_w1_median,Green_w1_p25,Green_w1_p75,Green_w1_cv,Green_w1_range,Red_w1_mean,Red_w1_std,Red_w1_median,Red_w1_p25,Red_w1_p75,Red_w1_cv,Red_w1_range,RedEdge_w1_mean,RedEdge_w1_std,RedEdge_w1_median,RedEdge_w1_p25,RedEdge_w1_p75,RedEdge_w1_cv,RedEdge_w1_range,NIR_w1_mean,NIR_w1_std,NIR_w1_median,NIR_w1_p25,NIR_w1_p75,NIR_w1_cv,NIR_w1_range,Blue_w3_mean,Blue_w3_std,Blue_w3_median,Blue_w3_p25,Blue_w3_p75,Blue_w3_cv,Blue_w3_range,Green_w3_mean,Green_w3_std,Green_w3_median,Green_w3_p25,Green_w3_p75,Green_w3_cv,Green_w3_range,Red_w3_mean,Red_w3_std,Red_w3_median,Red_w3_p25,Red_w3_p75,Red_w3_cv,Red_w3_range,RedEdge_w3_mean,RedEdge_w3_std,RedEdge_w3_median,RedEdge_w3_p25,RedEdge_w3_p75,RedEdge_w3_cv,RedEdge_w3_range,NIR_w3_mean,NIR_w3_std,NIR_w3_median,NIR_w3_p25,NIR_w3_p75,NIR_w3_cv,NIR_w3_range,Blue_w5_mean,Blue_w5_std,Blue_w5_median,Blue_w5_p25,Blue_w5_p75,Blue_w5_cv,Blue_w5_range,Green_w5_mean,Green_w5_std,Green_w5_median,Green_w5_p25,Green_w5_p75,Green_w5_cv,Green_w5_range,Red_w5_mean,Red_w5_std,Red_w5_median,Red_w5_p25,Red_w5_p75,Red_w5_cv,Red_w5_range,RedEdge_w5_mean,RedEdge_w5_std,RedEdge_w5_median,RedEdge_w5_p25,RedEdge_w5_p75,RedEdge_w5_cv,RedEdge_w5_range,NIR_w5_mean,NIR_w5_std,NIR_w5_median,NIR_w5_p25,NIR_w5_p75,NIR_w5_cv,NIR_w5_range,Blue_w7_mean,Blue_w7_std,Blue_w7_median,Blue_w7_p25,Blue_w7_p75,Blue_w7_cv,Blue_w7_range,Green_w7_mean,Green_w7_std,Green_w7_median,Green_w7_p25,Green_w7_p75,Green_w7_cv,Green_w7_range,Red_w7_mean,Red_w7_std,Red_w7_median,Red_w7_p25,Red_w7_p75,Red_w7_cv,Red_w7_range,RedEdge_w7_mean,RedEdge_w7_std,RedEdge_w7_median,RedEdge_w7_p25,RedEdge_w7_p75,RedEdge_w7_cv,RedEdge_w7_range,NIR_w7_mean,NIR_w7_std,NIR_w7_median,NIR_w7_p25,NIR_w7_p75,NIR_w7_cv,NIR_w7_range
1,0.033907,0.000000,0.033907,0.033907,0.033907,0.000000,0.000000,0.071482,0.000000,0.071482,0.071482,0.071482,0.000000,0.000000,0.056175,0.000000,0.056175,0.056175,0.056175,0.000000,0.000000,0.146732,0.000000,0.146732,0.146732,0.146732,0.000000,0.000000,0.264751,0.000000,0.264751,0.264751,0.264751,0.000000,0.000000,0.035127,0.003758,0.033907,0.031907,0.037322,0.106973,0.011584,0.071828,0.002533,0.071326,0.070059,0.073453,0.035258,0.007115,0.057739,0.004586,0.056206,0.056021,0.061262,0.079434,0.015601,0.139704,0.008159,0.143364,0.131950,0.145849,0.058403,0.023777,0.249390,0.018152,0.243778,0.238637,0.250746,0.072786,0.062689,0.036467,0.004498,0.034814,0.033076,0.040260,0.123357,0.016138,0.071248,0.003703,0.070294,0.068495,0.073453,0.051968,0.013746,0.061512,0.007034,0.060692,0.056206,0.065039,0.114352,0.027548,0.134310,0.011868,0.133716,0.129153,0.143478,0.088365,0.042828,0.230001,0.029572,0.233371,0.211565,0.244611,0.128576,0.105486,0.037533,0.004435,0.036876,0.033907,0.040968,0.118155,0.016569,0.070312,0.005028,0.070059,0.066931,0.073453,0.071514,0.023019,0.064287,0.007304,0.062403,0.059181,0.069139,0.113617,0.027563,0.130221,0.013107,0.132326,0.119963,0.139848,0.100654,0.047047,0.216478,0.033821,0.213604,0.189492,0.238637,0.156233,0.138728
2,0.041337,0.000000,0.041337,0.041337,0.041337,0.000000,0.000000,0.089310,0.000000,0.089310,0.089310,0.089310,0.000000,0.000000,0.071097,0.000000,0.071097,0.071097,0.071097,0.000000,0.000000,0.166454,0.000000,0.166454,0.166454,0.166454,0.000000,0.000000,0.275264,0.000000,0.275264,0.275264,0.275264,0.000000,0.000000,0.041472,0.001683,0.041645,0.041337,0.042045,0.040584,0.006738,0.089407,0.008624,0.089310,0.082116,0.091718,0.096454,0.029556,0.073877,0.006258,0.074458,0.071097,0.079792,0.084712,0.020102,0.175938,0.019139,0.166454,0.160452,0.195022,0.108783,0.049532,0.315462,0.067705,0.286753,0.275264,0.387807,0.214621,0.213331,0.043765,0.004550,0.042045,0.041337,0.046245,0.103966,0.019599,0.095885,0.012491,0.091718,0.087527,0.100397,0.130268,0.053717,0.079019,0.008821,0.079792,0.072238,0.085357,0.111626,0.038046,0.189212,0.026721,0.186420,0.168678,0.202430,0.141221,0.109743,0.337935,0.065796,0.338574,0.285937,0.390661,0.194699,0.229978,0.046989,0.008863,0.044460,0.041429,0.051445,0.188625,0.041399,0.101424,0.015422,0.097285,0.090357,0.108169,0.152051,0.058893,0.085794,0.017862,0.083152,0.074165,0.092818,0.208198,0.078127,0.198795,0.027589,0.195022,0.176936,0.216428,0.138781,0.109743,0.339730,0.061298,0.346020,0.287621,0.390661,0.180431,0.229978
3,0.049814,0.000000,0.049814,0.049814,0.049814,0.000000,0.000000,0.108263,0.000000,0.108263,0.108263,0.108263,0.000000,0.000000,0.083769,0.000000,0.083769,0.083769,0.083769,0.000000,0.000000,0.217687,0.000000,0.217687,0.217687,0.217687,0.000000,0.000000,0.283721,0.000000,0.283721,0.283721,0.283721,0.000000,0.000000,0.053161,0.007558,0.052291,0.046660,0.061721,0.142163,0.020276,0.109895,0.004557,0.111688,0.105542,0.113893,0.041463,0.013402,0.091766,0.013723,0.085172,0.080624,0.106877,0.149540,0.036520,0.223596,0.011337,0.220630,0.217687,0.234252,0.050705,0.038004,0.312264,0.037681,0.307797,0.283721,0.340896,0.120669,0.116407,0.056766,0.010861,0.052829,0.046660,0.065998,0.191325,0.037014,0.114580,0.009222,0.113080,0.108263,0.115832,0.080483,0.040409,0.100507,0.020985,0.091261,0.083769,0.118022,0.208788,0.063852,0.239582,0.018304,0.240564,0.225634,0.254382,0.076401,0.072655,0.339877,0.050639,0.339939,0.302886,0.379581,0.148994,0.177164,0.057358,0.012653,0.053906,0.047152,0.067167,0.220598,0.046383,0.118006,0.015020,0.113784,0.107325,0.124324,0.127280,0.057189,0.102751,0.025355,0.091970,0.081071,0.128860,0.246759,0.086914,0.246238,0.028181,0.242559,0.225552,0.263687,0.114447,0.116088,0.358491,0.049335,0.361550,0.314410,0.399100,0.137619,0.177164
4,0.056321,0.000000,0.056321,0.056321,0.056321,0.000000,0.000000,0.115379,0.000000,0.115379,0.115379,0.115379,0.000000,0.000000,0.097520,0.000000,0.097520,0.097520,0.097520,0.000000,0.000000,0.221824,0.000000,0.221824,0.221824,0.221824,0.000000,0.000000,0.246437,0.000000,0.246437,0.246437,0.246437,0.000000,0.000000,0.053405,0.003367,0.054737,0.049937,0.056429,0.063040,0.008815,0.114729,0.002438,0.114081,0.113267,0.116911,0.021250,0.007303,0.099131,0.005373,0.102175,0.097365,0.103239,0.054198,0.016556,0.220289,0.006356,0.219044,0.216215,0.224277,0.028855,0.018593,0.277183,0.032803,0.273598,0.260603,0.283597,0.118345,0.120254,0.054560,0.005610,0.054121,0.049106,0.056937,0.102832,0.020338,0.114342,0.006472,0.114081,0.109108,0.117912,0.056602,0.026866,0.101526,0.009245,0.100032,0.095993,0.104133,0.091060,0.033776,0.217790,0.008314,0.216264,0.212029,0.224048,0.038176,0.035142,0.307518,0.041111,0.314286,0.276984,0.340045,0.133687,0.140075,0.056421,0.008421,0.054968,0.049106,0.059029,0.149256,0.033661,0.113857,0.008894,0.113815,0.108185,0.117959,0.078116,0.042192,0.105295,0.015741,0.102175,0.095747,0.110577,0.149495,0.067783,0.219292,0.017496,0.218341,0.209200,0.227335,0.079786,0.081044,0.318751,0.039055,0.323150,0.283597,0.344868,0.122524,0.156616
5,0.057937,0.000000,0.057937,0.057937,0.057937,0.000000,0.000000,0.132065,0.000000,0.132065,0.132065,0.132065,0.000000,0.000000,0.096548,0.000000,0.096548,0.096548,0.096548,0.000000,0.000000,0.262804,0.000000,0.262804,0.262804,0.262804,0.000000,0.000000,0.289483,0.000000,0.289483,0.289483,0.289483,0.000000,0.000000,0.061849,0.007873,0.058598,0.057475,0.066413,0.127285,0.027168,0.132205,0.017233,0.132065,0.114440,0.142636,0.130352,0.051575,0.107786,0.013494,0.107124,0.096548,0.110916,0.125196,0.044598,0.251829,0.009737,0.250883,0.241709,0.262493,0.038665,0.025903,0.311738,0.038303,0.304535,0.276949,0.341251,0.122870,0.112649,0.068499,0.012000,0.068229,0.057937,0.077336,0.175191,0.049506,0.127613,0.021658,0.132065,0.111516,0.142636,0.169715,0.073187,0.126436,0.028627,0.125684,0.102684,0.147050,0.226417,0.105150,0.239919,0.024776,0.241480,0.225830,0.262493,0.103268,0.099179,0.326008,0.058246,0.304535,0.284803,0.361586,0.178663,0.221273,0.074866,0.017548,0.075921,0.061967,0.083751,0.234396,0.082921,0.123855,0.021753,0.129344,0.109858,0.135505,0.175633,0.077644,0.141936,0.038149,0.144044,0.107124,0.166011,0.268780,0.160924,0.230604,0.032138,0.239534,0.216052,0.255838,0.139363,0.127764,0.318429,0.061359,0.302141,0.279023,0.361586,0.192694,0.251182
6,0.064998,0.000000,0.064998,0.064998,0.064998,0.000000,0.000000,0.117224,0.000000,0.117224,0.117224,0.117224,0.000000,0.000000,0.120273,0.000000,0.120273,0.120273,0.120273,0.000000,0.000000,0.214841,0.000000,0.214841,0.214841,0.214841,0.000000,0.000000,0.304588,0.000000,0.304588,0.304588,0.304588,0.000000,0.000000,0.067514,0.011207,0.062552,0.058998,0.079321,0.166002,0.029338,0.118028,0.019480,0.117224,0.100945,0.125106,0.165047,0.057126,0.129694,0.012370,0.120273,0.119888,0.143443,0.095382,0.031248,0.212287,0.030427,0.214841,0.191277,0.240646,0.143332,0.092818,0.281034,0.027712,0.275176,0.253103,0.304588,0.098606,0.075915,0.072763,0.012762,0.070521,0.062552,0.081782,0.175396,0.043952,0.120424,0.019573,0.117224,0.106371,0.137225,0.162531,0.065133,0.136350,0.015553,0.134949,0.120273,0.145848,0.114068,0.059350,0.203067,0.030320,0.208317,0.178162,0.229052,0.149311,0.104379,0.263742,0.041516,0.262925,0.233761,0.297798,0.157412,0.147149,0.073337,0.011039,0.074998,0.064998,0.080844,0.150526,0.044476,0.119806,0.017340,0.118053,0.110687,0.131173,0.144735,0.073562,0.135994,0.015768,0.137492,0.120273,0.145909,0.115943,0.065378,0.198200,0.026226,0.200222,0.175072,0.218112,0.132322,0.104379,0.251872,0.045635,0.257412,0.207895,0.289447,0.181183,0.180479
7,0.029707,0.000000,0.029707,0.029707,0.029707,0.000000,0.000000,0.075611,0.000000,0.075611,0.075611,0.075611,0.000000,0.000000,0.043981,0.000000,0.043981,0.043981,0.043981,0.000000,0.000000,0.181220,0.000000,0.181220,0.181220,0.181220,0.000000,0.000000,0.504533,0.000000,0.504533,0.504533,0.504533,0.000000,0.000000,0.030191,0.001286,0.029707,0.029507,0.031184,0.042612,0.004369,0.076660,0.006007,0.076690,0.074891,0.078629,0.078353,0.022378,0.045106,0.004825,0.043981,0.041638,0.047403,0.106961,0.016248,0.179876,0.015848,0.181220,0.170264,0.191473,0.088104,0.052885,0.506399,0.020201,0.504533,0.496697,0.525063,0.039891,0.060402,0.031316,0.004352,0.030338,0.029322,0.032522,0.138956,0.020015,0.079597,0.010287,0.078629,0.073609,0.084087,0.129236,0.038204,0.047979,0.010853,0.043981,0.041638,0.050440,0.226214,0.042501,0.181735,0.019635,0.185423,0.167435,0.194777,0.108043,0.064282,0.490191,0.034867,0.502353,0.454378,0.517901,0.071129,0.115326,0.031817,0.006161,0.030522,0.029091,0.033261,0.193625,0.028076,0.081614,0.011122,0.082007,0.073609,0.088262,0.136276,0.039533,0.049578,0.013983,0.043966,0.040266,0.056159,0.282036,0.055635,0.184732,0.020503,0.185423,0.170264,0.198015,0.110988,0.080096,0.467784,0.052607,0.478685,0.439132,0.513681,0.112460,0.187606
8,0.048352,0.000000,0.048352,0.048352,0.048352,0.000000,0.000000,0.113799,0.000000,0.113799,0.113799,0.113799,0.000000,0.000000,0.091508,0.000000,0.091508,0.091508,0.091508,0.000000,0.000000,0.176347,0.000000,0.176347,0.176347,0.176347,0.000000,0.000000,0.302088,0.000000,0.302088,0.302088,0.302088,0.000000,0.000000,0.052815,0.010129,0.048352,0.047091,0.064229,0.191775,0.029522,0.113015,0.011643,0.113799,0.104416,0.120711,0.103024,0.036515,0.096488,0.015508,0.091508,0.084231,0.110900,0.160722,0.046155,0.178851,0.022337,0.176347,0.169855,0.198293,0.124893,0.074519,0.273501,0.067852,0.302088,0.200679,0.329639,0.248085,0.191046,0.055472,0.016010,0.050106,0.043276,0.066367,0.288609,0.055783,0.108503,0.018998,0.106058,0.097254,0.118272,0.175096,0.075423,0.104010,0.028115,0.093388,0.083245,0.123757,0.270312,0.093727,0.171412,0.038336,0.175219,0.150543,0.198293,0.223649,0.150118,0.249308,0.083401,0.289075,0.163360,0.326979,0.334530,0.241573,0.055842,0.016115,0.051075,0.041999,0.066367,0.288589,0.056721,0.105559,0.020063,0.105433,0.092046,0.120711,0.190060,0.079614,0.107406,0.031059,0.095254,0.084493,0.132035,0.289174,0.120951,0.167729,0.042558,0.173224,0.145866,0.195774,0.253733,0.165849,0.239852,0.082924,0.275566,0.144089,0.311662,0.345730,0.268999
9,0.050383,0.000000,0.050383,0.050383,0.050383,0.000000,0.000000,0.117005,0.000000,0.117005,0.117005,0.117005,0.000000,0.000000,0.088378,0.000000,0.088378,0.088378,0.088378,0.000000,0.000000,0.171948,0.000000,0.171948,0.171948,0.171948,0.000000,0.000000,0.184599,0.000000,0.184599,0.184599,0.184599,0.000000,0.000000,0.050910,0.006067,0.050291,0.047152,0.056614,0.119174,0.018892,0.109671,0.007278,0.104494,0.103165,0.117005,0.066360,0.017859,0.092306,0.004883,0.092833,0.087900,0.096934,0.052898,0.013381,0.174567,0.012801,0.173616,0.171948,0.181253,0.073333,0.047341,0.199899,0.016109,0.193659,0.187312,0.220802,0.080583,0.040581,0.052267,0.007597,0.050768,0.047152,0.057598,0.145344,0.031261,0.102831,0.010281,0.102852,0.095643,0.106762,0.099978,0.034998,0.097420,0.008075,0.096934,0.089149,0.102622,0.082885,0.028149,0.177820,0.017096,0.178081,0.172128,0.187075,0.096141,0.070922,0.215753,0.021421,0.219436,0.195910,0.223018,0.099283,0.091481,0.052395,0.007369,0.050937,0.047291,0.056614,0.140639,0.032214,0.098988,0.010765,0.099521,0.091968,0.104494,0.108752,0.044991,0.099936,0.009128,0.099400,0.094082,0.106044,0.091339,0.041206,0.175122,0.016887,0.176135,0.165440,0.187075,0.096429,0.070922,0.221883,0.026609,0.222876,0.209437,0.239860,0.119925,0.104653
10,0.047722,0.000000,0.047722,0.047722,0.047722,0.000000,0.000000,0.083555,0.000000,0.083555,0.083555,0.083555,0.000000,0.000000,0.107124,0.000000,0.107124,0.107124,0.107124,0.000000,0.000000,0.132162,0.000000,0.132162,0.132162,0.132162,0.000000,0.000000,0.169016,0.000000,0.169016,0.169016,0.169016,0.000000,0.000000,0.049805,0.005231,0.050491,0.045276,0.053952,0.105022,0.017046,0.083253,0.003586,0.081491,0.080349,0.084321,0.043076,0.010274,0.105692,0.007896,0.104457,0.099385,0.111887,0.074712,0.024850,0.134401,0.013179,0.132162,0.127371,0.145866,0.098061,0.042157,0.172234,0.021997,0.169016,0.154035,0.193499,0.127715,0.068327,0.051158,0.005744,0.050906,0.046122,0.055291,0.112273,0.023615,0.083975,0.009919,0.081491,0.077519,0.090920,0.118116,0.036437,0.104454,0.012966,0.104472,0.095516,0.111887,0.124134,0.053400,0.137752,0.018151,0.144149,0.126668,0.150837,0.131763,0.063023,0.174171,0.025306,0.173554,0.159265,0.193499,0.145292,0.107951,0.051303,0.006867,0.050906,0.046122,0.056414,0.133853,0.026199,0.083587,0.012659,0.081491,0.073812,0.092281,0.151443,0.056016,0.102093,0.014308,0.103933,0.091030,0.113167,0.140150,0.062649,0.139076,0.022230,0.144149,0.126030,0.155448,0.159842,0.096023,0.172853,0.026445,0.173554,0.150808,0.193854,0.152993,0.111284
