feature,element,pearson_r,p_value,abs_r
Red_glcm_contrast_mean,N_%,-0.1055,0.3038,0.1055
Red_glcm_contrast_mean,P_%,-0.2320,0.0222,0.2320
Red_glcm_contrast_mean,K_%,-0.0969,0.3448,0.0969
Red_glcm_contrast_mean,Ca_%,-0.1544,0.1309,0.1544
Red_glcm_contrast_mean,Mg_%,-0.0553,0.5909,0.0553
Red_glcm_contrast_mean,S_%,-0.1507,0.1407,0.1507
Red_glcm_contrast_mean,Нитраты_мг_кг,-0.1759,0.0865,0.1759
Red_glcm_contrast_mean,Fe_мг_кг,-0.0826,0.4210,0.0826
Red_glcm_contrast_mean,Mn_мг_кг,0.0804,0.4337,0.0804
Red_glcm_contrast_mean,Cu_мг_кг,-0.0407,0.6925,0.0407
Red_glcm_contrast_mean,Zn_мг_кг,-0.0972,0.3438,0.0972
Red_glcm_contrast_mean,Co_мг_кг,-0.1592,0.2907,0.1592
Red_glcm_contrast_std,N_%,-0.0751,0.4650,0.0751
Red_glcm_contrast_std,P_%,-0.1559,0.1273,0.1559
Red_glcm_contrast_std,K_%,-0.1096,0.2854,0.1096
Red_glcm_contrast_std,Ca_%,-0.1335,0.1923,0.1335
Red_glcm_contrast_std,Mg_%,-0.0257,0.8028,0.0257
Red_glcm_contrast_std,S_%,-0.1348,0.1879,0.1348
Red_glcm_contrast_std,Нитраты_мг_кг,-0.1321,0.1995,0.1321
Red_glcm_contrast_std,Fe_мг_кг,-0.0716,0.4861,0.0716
Red_glcm_contrast_std,Mn_мг_кг,0.0711,0.4892,0.0711
Red_glcm_contrast_std,Cu_мг_кг,-0.0360,0.7264,0.0360
Red_glcm_contrast_std,Zn_мг_кг,-0.0635,0.5366,0.0635
Red_glcm_contrast_std,Co_мг_кг,-0.1176,0.4365,0.1176
Red_glcm_dissimilarity_mean,N_%,-0.0851,0.4074,0.0851
Red_glcm_dissimilarity_mean,P_%,-0.2171,0.0326,0.2171
Red_glcm_dissimilarity_mean,K_%,-0.0724,0.4811,0.0724
Red_glcm_dissimilarity_mean,Ca_%,-0.1357,0.1850,0.1357
Red_glcm_dissimilarity_mean,Mg_%,-0.0711,0.4888,0.0711
Red_glcm_dissimilarity_mean,S_%,-0.1400,0.1713,0.1400
Red_glcm_dissimilarity_mean,Нитраты_мг_кг,-0.1666,0.1048,0.1666
Red_glcm_dissimilarity_mean,Fe_мг_кг,-0.0567,0.5810,0.0567
Red_glcm_dissimilarity_mean,Mn_мг_кг,0.0811,0.4297,0.0811
Red_glcm_dissimilarity_mean,Cu_мг_кг,-0.0617,0.5481,0.0617
Red_glcm_dissimilarity_mean,Zn_мг_кг,-0.1035,0.3129,0.1035
Red_glcm_dissimilarity_mean,Co_мг_кг,-0.1583,0.2935,0.1583
Red_glcm_dissimilarity_std,N_%,-0.0491,0.6330,0.0491
Red_glcm_dissimilarity_std,P_%,-0.1116,0.2767,0.1116
Red_glcm_dissimilarity_std,K_%,-0.0727,0.4791,0.0727
Red_glcm_dissimilarity_std,Ca_%,-0.1069,0.2975,0.1069
Red_glcm_dissimilarity_std,Mg_%,-0.0753,0.4638,0.0753
Red_glcm_dissimilarity_std,S_%,-0.1158,0.2589,0.1158
Red_glcm_dissimilarity_std,Нитраты_мг_кг,-0.1110,0.2815,0.1110
Red_glcm_dissimilarity_std,Fe_мг_кг,-0.0244,0.8124,0.0244
Red_glcm_dissimilarity_std,Mn_мг_кг,0.0804,0.4336,0.0804
Red_glcm_dissimilarity_std,Cu_мг_кг,-0.0875,0.3941,0.0875
Red_glcm_dissimilarity_std,Zn_мг_кг,-0.0869,0.3973,0.0869
Red_glcm_dissimilarity_std,Co_мг_кг,-0.0958,0.5263,0.0958
Red_glcm_homogeneity_mean,N_%,0.0796,0.4382,0.0796
Red_glcm_homogeneity_mean,P_%,0.2129,0.0363,0.2129
Red_glcm_homogeneity_mean,K_%,0.0659,0.5215,0.0659
Red_glcm_homogeneity_mean,Ca_%,0.1306,0.2022,0.1306
Red_glcm_homogeneity_mean,Mg_%,0.0751,0.4647,0.0751
Red_glcm_homogeneity_mean,S_%,0.1370,0.1808,0.1370
Red_glcm_homogeneity_mean,Нитраты_мг_кг,0.1639,0.1106,0.1639
Red_glcm_homogeneity_mean,Fe_мг_кг,0.0499,0.6274,0.0499
Red_glcm_homogeneity_mean,Mn_мг_кг,-0.0811,0.4296,0.0811
Red_glcm_homogeneity_mean,Cu_мг_кг,0.0671,0.5139,0.0671
Red_glcm_homogeneity_mean,Zn_мг_кг,0.1050,0.3061,0.1050
Red_glcm_homogeneity_mean,Co_мг_кг,0.1578,0.2950,0.1578
Red_glcm_homogeneity_std,N_%,-0.0381,0.7109,0.0381
Red_glcm_homogeneity_std,P_%,-0.0926,0.3669,0.0926
Red_glcm_homogeneity_std,K_%,-0.0572,0.5781,0.0572
Red_glcm_homogeneity_std,Ca_%,-0.0948,0.3559,0.0948
Red_glcm_homogeneity_std,Mg_%,-0.0934,0.3629,0.0934
