,Red_glcm_contrast_mean,Red_glcm_contrast_std,Red_glcm_dissimilarity_mean,Red_glcm_dissimilarity_std,Red_glcm_homogeneity_mean,Red_glcm_homogeneity_std,Red_glcm_energy_mean,Red_glcm_energy_std,Red_glcm_correlation_mean,Red_glcm_correlation_std,Red_glcm_ASM_mean,Red_glcm_ASM_std,Red_lbp_bin0,Red_lbp_bin1,Red_lbp_bin2,Red_lbp_bin3,Red_lbp_bin4,Red_lbp_bin5,Red_lbp_bin6,Red_lbp_bin7,NIR_glcm_contrast_mean,NIR_glcm_contrast_std,NIR_glcm_dissimilarity_mean,NIR_glcm_dissimilarity_std,NIR_glcm_homogeneity_mean,NIR_glcm_homogeneity_std,NIR_glcm_energy_mean,NIR_glcm_energy_std,NIR_glcm_correlation_mean,NIR_glcm_correlation_std,NIR_glcm_ASM_mean,NIR_glcm_ASM_std,NIR_gabor_f0.10_t0.00_mean,NIR_gabor_f0.10_t0.00_std,NIR_gabor_f0.10_t0.79_mean,NIR_gabor_f0.10_t0.79_std,NIR_gabor_f0.10_t1.57_mean,NIR_gabor_f0.10_t1.57_std,NIR_gabor_f0.10_t2.36_mean,NIR_gabor_f0.10_t2.36_std,NIR_gabor_f0.25_t0.00_mean,NIR_gabor_f0.25_t0.00_std,NIR_gabor_f0.25_t0.79_mean,NIR_gabor_f0.25_t0.79_std,NIR_gabor_f0.25_t1.57_mean,NIR_gabor_f0.25_t1.57_std,NIR_gabor_f0.25_t2.36_mean,NIR_gabor_f0.25_t2.36_std,NIR_gabor_f0.40_t0.00_mean,NIR_gabor_f0.40_t0.00_std,NIR_gabor_f0.40_t0.79_mean,NIR_gabor_f0.40_t0.79_std,NIR_gabor_f0.40_t1.57_mean,NIR_gabor_f0.40_t1.57_std,NIR_gabor_f0.40_t2.36_mean,NIR_gabor_f0.40_t2.36_std,NIR_lbp_bin0,NIR_lbp_bin1,NIR_lbp_bin2,NIR_lbp_bin3,NIR_lbp_bin4,NIR_lbp_bin5,NIR_lbp_bin6,NIR_lbp_bin7,RedEdge_glcm_contrast_mean,RedEdge_glcm_contrast_std,RedEdge_glcm_dissimilarity_mean,RedEdge_glcm_dissimilarity_std,RedEdge_glcm_homogeneity_mean,RedEdge_glcm_homogeneity_std,RedEdge_glcm_energy_mean,RedEdge_glcm_energy_std,RedEdge_glcm_correlation_mean,RedEdge_glcm_correlation_std,RedEdge_glcm_ASM_mean,RedEdge_glcm_ASM_std,RedEdge_gabor_f0.10_t0.00_mean,RedEdge_gabor_f0.10_t0.00_std,RedEdge_gabor_f0.10_t0.79_mean,RedEdge_gabor_f0.10_t0.79_std,RedEdge_gabor_f0.10_t1.57_mean,RedEdge_gabor_f0.10_t1.57_std,RedEdge_gabor_f0.10_t2.36_mean,RedEdge_gabor_f0.10_t2.36_std,RedEdge_gabor_f0.25_t0.00_mean,RedEdge_gabor_f0.25_t0.00_std,RedEdge_gabor_f0.25_t0.79_mean,RedEdge_gabor_f0.25_t0.79_std,RedEdge_gabor_f0.25_t1.57_mean,RedEdge_gabor_f0.25_t1.57_std,RedEdge_gabor_f0.25_t2.36_mean,RedEdge_gabor_f0.25_t2.36_std,RedEdge_gabor_f0.40_t0.00_mean,RedEdge_gabor_f0.40_t0.00_std,RedEdge_gabor_f0.40_t0.79_mean,RedEdge_gabor_f0.40_t0.79_std,RedEdge_gabor_f0.40_t1.57_mean,RedEdge_gabor_f0.40_t1.57_std,RedEdge_gabor_f0.40_t2.36_mean,RedEdge_gabor_f0.40_t2.36_std,RedEdge_lbp_bin0,RedEdge_lbp_bin1,RedEdge_lbp_bin2,RedEdge_lbp_bin3,RedEdge_lbp_bin4,RedEdge_lbp_bin5,RedEdge_lbp_bin6,RedEdge_lbp_bin7
1,0.353198,0.082372,0.340719,0.067828,0.830889,0.032529,0.471558,0.021502,0.648810,0.081274,0.222829,0.020197,0.077691,0.035156,0.029948,0.045139,0.063368,0.026910,0.024740,0.141493,0.968119,0.217086,0.672597,0.094977,0.692656,0.035979,0.360432,0.012856,0.531035,0.107018,0.130077,0.009331,0.016092,0.005407,0.016313,0.005220,0.016115,0.005391,0.016347,0.005556,0.001834,0.001282,0.001826,0.001002,0.002056,0.001174,0.002032,0.001523,0.001039,0.000584,0.000768,0.000439,0.000838,0.000502,0.000770,0.000494,0.079427,0.036892,0.021701,0.031250,0.027344,0.022569,0.029080,0.196181,0.394676,0.056006,0.382989,0.049419,0.809674,0.024061,0.519219,0.013043,0.278938,0.101955,0.269758,0.013644,0.020939,0.001669,0.021246,0.001620,0.020952,0.001815,0.021276,0.001783,0.000980,0.000554,0.000903,0.000444,0.001217,0.000659,0.001002,0.000547,0.000535,0.000330,0.000501,0.000260,0.000548,0.000296,0.000441,0.000230,0.091580,0.019965,0.017795,0.021267,0.029948,0.021267,0.028646,0.213976
2,0.218338,0.059084,0.218338,0.059084,0.890831,0.029542,0.590384,0.025147,0.556974,0.122376,0.349185,0.029608,0.068576,0.039497,0.042101,0.051215,0.054688,0.028646,0.022135,0.137587,2.347432,1.023804,1.168792,0.292776,0.529178,0.081197,0.204231,0.017438,0.490075,0.220868,0.042015,0.007479,0.028068,0.005961,0.028514,0.006403,0.028572,0.007676,0.028825,0.006887,0.002365,0.001135,0.002310,0.001351,0.006078,0.002275,0.003117,0.001430,0.000970,0.000524,0.000934,0.000485,0.001217,0.000660,0.000901,0.000457,0.098090,0.021701,0.021701,0.031250,0.034288,0.022135,0.029080,0.186198,0.459771,0.105096,0.427797,0.080970,0.789299,0.038121,0.495399,0.018355,0.316524,0.154573,0.245757,0.018494,0.020190,0.001889,0.020500,0.001943,0.020242,0.002362,0.020535,0.002242,0.001064,0.000626,0.001027,0.000538,0.001988,0.000828,0.001138,0.000595,0.000538,0.000292,0.000469,0.000243,0.000484,0.000260,0.000443,0.000223,0.099392,0.027778,0.016927,0.020833,0.031250,0.021267,0.033420,0.193576
3,0.375055,0.106905,0.359434,0.082518,0.821845,0.038949,0.430440,0.024813,0.710976,0.082889,0.185894,0.021711,0.078993,0.030382,0.036892,0.042969,0.054253,0.031250,0.017795,0.151910,0.729012,0.175581,0.551581,0.087163,0.741668,0.035424,0.382069,0.016254,0.630204,0.089374,0.146241,0.012569,0.022154,0.005250,0.022517,0.005335,0.022228,0.005698,0.022524,0.005626,0.001481,0.000797,0.001740,0.001059,0.002038,0.001175,0.001524,0.000952,0.000603,0.000392,0.000598,0.000344,0.000758,0.000462,0.000532,0.000303,0.078559,0.043837,0.030382,0.028646,0.040365,0.030382,0.025608,0.166667,0.370488,0.053787,0.357767,0.044968,0.822389,0.021628,0.540901,0.012300,0.320746,0.098835,0.292725,0.013410,0.027581,0.001785,0.028030,0.001785,0.027600,0.002056,0.027986,0.001959,0.000982,0.000541,0.000950,0.000476,0.001156,0.000569,0.000945,0.000500,0.000445,0.000258,0.000481,0.000232,0.000527,0.000345,0.000445,0.000253,0.092014,0.033420,0.022569,0.017795,0.043403,0.019965,0.030816,0.184462
4,0.413182,0.142648,0.396781,0.118048,0.803250,0.056657,0.476480,0.031375,0.482045,0.183904,0.228017,0.030579,0.093316,0.023872,0.016927,0.043837,0.042535,0.019965,0.034288,0.169705,1.314276,0.463298,0.770573,0.159164,0.664486,0.053496,0.304224,0.017716,0.618700,0.153090,0.092866,0.010996,0.022921,0.008280,0.023112,0.007720,0.022583,0.007029,0.023026,0.007498,0.003113,0.001709,0.002468,0.001468,0.001585,0.001021,0.001991,0.001204,0.001000,0.000502,0.000678,0.000358,0.000579,0.000344,0.000608,0.000311,0.089410,0.035590,0.027778,0.028646,0.036892,0.023003,0.032118,0.171007,0.423332,0.055979,0.405953,0.048669,0.798761,0.023647,0.505286,0.011985,0.278955,0.098143,0.255458,0.012239,0.021052,0.001959,0.021382,0.001893,0.021019,0.001585,0.021328,0.001640,0.001177,0.000617,0.000911,0.000481,0.000809,0.000444,0.000983,0.000479,0.000671,0.000367,0.000475,0.000228,0.000511,0.000336,0.000415,0.000216,0.096788,0.023438,0.019531,0.019965,0.030382,0.015191,0.033854,0.205295
5,0.477836,0.147437,0.445589,0.107934,0.780430,0.050190,0.368491,0.028364,0.707580,0.086686,0.136590,0.021463,0.065538,0.045573,0.045139,0.052517,0.059896,0.024306,0.023438,0.128038,0.690945,0.203739,0.523890,0.101262,0.754468,0.040937,0.463048,0.021635,0.425578,0.167539,0.214881,0.020122,0.020422,0.003170,0.020728,0.003290,0.020485,0.003604,0.020771,0.003348,0.001361,0.000807,0.001323,0.000873,0.002398,0.001456,0.001733,0.001002,0.000626,0.000353,0.000548,0.000313,0.000776,0.000384,0.000623,0.000384,0.085069,0.036458,0.022569,0.018663,0.039062,0.024306,0.030382,0.187934,0.359573,0.045854,0.350472,0.038956,0.825674,0.018847,0.561633,0.011687,0.367396,0.081388,0.315568,0.013128,0.031032,0.002114,0.031529,0.002217,0.031063,0.002527,0.031509,0.002406,0.000956,0.000496,0.000847,0.000437,0.001140,0.000593,0.000948,0.000455,0.000510,0.000289,0.000484,0.000227,0.000540,0.000282,0.000430,0.000226,0.082465,0.029948,0.027344,0.023438,0.032986,0.021701,0.027778,0.198785
6,0.490097,0.153726,0.446707,0.108752,0.780986,0.050170,0.379017,0.028330,0.672281,0.101945,0.144457,0.021919,0.075955,0.047743,0.036024,0.040365,0.046875,0.026910,0.030382,0.140191,1.100186,0.342207,0.717854,0.135176,0.677482,0.048831,0.322795,0.018674,0.531344,0.143034,0.104545,0.012223,0.019608,0.004863,0.019945,0.004924,0.019789,0.005470,0.019999,0.005371,0.001759,0.001091,0.001589,0.000958,0.002899,0.001803,0.002041,0.001328,0.000738,0.000443,0.000623,0.000344,0.000930,0.000502,0.000824,0.000514,0.078993,0.040799,0.035590,0.030382,0.041233,0.026476,0.026476,0.164497,0.351179,0.059196,0.333295,0.047941,0.835141,0.022865,0.630033,0.015146,0.252555,0.124218,0.397171,0.019190,0.025334,0.001838,0.025742,0.001907,0.025349,0.002034,0.025709,0.001931,0.000988,0.000570,0.000798,0.000437,0.001480,0.000850,0.001069,0.000534,0.000504,0.000325,0.000380,0.000191,0.000597,0.000390,0.000466,0.000275,0.094184,0.022569,0.025608,0.013889,0.037760,0.020399,0.029080,0.200955
7,0.197545,0.036298,0.197545,0.036298,0.901227,0.018149,0.669147,0.015592,0.564608,0.083144,0.448000,0.020797,0.075087,0.044271,0.037326,0.030816,0.055556,0.029080,0.022569,0.149740,1.102151,0.340466,0.754105,0.140885,0.657485,0.050818,0.269258,0.016172,0.636964,0.111584,0.072762,0.008690,0.033768,0.006333,0.034236,0.006328,0.033842,0.006719,0.034373,0.006669,0.002115,0.001275,0.001859,0.000921,0.002276,0.001305,0.002554,0.001674,0.000789,0.000407,0.000577,0.000302,0.000721,0.000428,0.000842,0.000410,0.074653,0.039931,0.042969,0.036892,0.071615,0.029514,0.015191,0.133681,0.331484,0.048036,0.318477,0.038661,0.842062,0.018446,0.578677,0.011675,0.448319,0.081644,0.335003,0.013538,0.025715,0.002595,0.026125,0.002562,0.025723,0.002657,0.026093,0.002674,0.001114,0.000548,0.000966,0.000499,0.001042,0.000632,0.001006,0.000552,0.000531,0.000279,0.000445,0.000266,0.000486,0.000272,0.000507,0.000273,0.077691,0.038628,0.035156,0.024740,0.042535,0.025174,0.026042,0.174479
8,0.510584,0.136293,0.467917,0.097446,0.770308,0.044982,0.399483,0.023536,0.618178,0.101166,0.160141,0.019128,0.082031,0.034288,0.033420,0.041667,0.049913,0.031684,0.027344,0.144097,0.481075,0.094070,0.433014,0.066079,0.788299,0.030334,0.448396,0.017200,0.551867,0.088151,0.201355,0.015590,0.017443,0.003682,0.017659,0.003695,0.017449,0.003748,0.017750,0.003727,0.001562,0.000968,0.001176,0.000585,0.001129,0.000594,0.001099,0.000631,0.000501,0.000297,0.000408,0.000233,0.000447,0.000287,0.000526,0.000259,0.072917,0.046441,0.045139,0.029080,0.043403,0.018229,0.024306,0.164931,0.285531,0.047736,0.275403,0.037153,0.863311,0.017588,0.690268,0.012536,0.247416,0.123206,0.476627,0.017475,0.025668,0.001860,0.026059,0.001810,0.025644,0.001504,0.026031,0.001485,0.001119,0.000562,0.000915,0.000465,0.000756,0.000406,0.000707,0.000373,0.000448,0.000280,0.000411,0.000228,0.000411,0.000241,0.000483,0.000248,0.089844,0.026910,0.022135,0.021701,0.034288,0.013455,0.031250,0.204861
9,0.508448,0.138842,0.465548,0.099322,0.771516,0.045855,0.397815,0.024393,0.586090,0.114027,0.158852,0.019962,0.085938,0.036024,0.027344,0.032986,0.054688,0.029514,0.024740,0.153212,1.643167,0.468913,0.938753,0.161442,0.598631,0.052727,0.253082,0.014021,0.519912,0.136503,0.064247,0.007261,0.029329,0.006074,0.029716,0.006094,0.029421,0.006607,0.029861,0.006367,0.002546,0.001516,0.002425,0.001289,0.004006,0.002165,0.002506,0.001339,0.001000,0.000576,0.000979,0.000578,0.000961,0.000538,0.000878,0.000497,0.088108,0.036458,0.024306,0.021701,0.036892,0.025608,0.032552,0.178819,0.452548,0.055434,0.428175,0.046956,0.788350,0.022657,0.492776,0.010799,0.240787,0.093407,0.242945,0.010789,0.028531,0.001708,0.028967,0.001743,0.028548,0.001966,0.028978,0.001857,0.001064,0.000621,0.001063,0.000522,0.001268,0.000657,0.001052,0.000551,0.000580,0.000337,0.000598,0.000322,0.000622,0.000366,0.000515,0.000257,0.092882,0.016059,0.013889,0.016059,0.034288,0.013021,0.031684,0.226562
10,0.243325,0.045527,0.242804,0.044482,0.878650,0.022138,0.638316,0.020266,0.520561,0.087558,0.407858,0.025807,0.086806,0.031684,0.024740,0.032552,0.051215,0.023003,0.029080,0.165365,0.578636,0.143723,0.447317,0.080164,0.789229,0.034040,0.458900,0.021036,0.578438,0.104535,0.211032,0.019442,0.008281,0.004764,0.008347,0.004705,0.008303,0.004650,0.008424,0.004764,0.001445,0.001112,0.001489,0.000980,0.002170,0.001185,0.001552,0.000922,0.000467,0.000323,0.000429,0.000221,0.000700,0.000443,0.000548,0.000300,0.081163,0.039931,0.031250,0.022135,0.033420,0.021267,0.016927,0.198351,0.351441,0.045650,0.340795,0.039287,0.830667,0.019013,0.597410,0.013313,0.339708,0.084367,0.357076,0.015951,0.018843,0.002211,0.019145,0.002189,0.018839,0.002187,0.019113,0.002252,0.000844,0.000478,0.000736,0.000375,0.001095,0.000528,0.001008,0.000544,0.000566,0.000306,0.000445,0.000240,0.000496,0.000347,0.000559,0.000335,0.090278,0.024740,0.017795,0.016927,0.037326,0.015625,0.031250,0.210503
