feature,element,pearson_r,p_value,abs_r
Red_glcm_contrast_mean,N_%,-0.0673,0.5123,0.0673
Red_glcm_contrast_mean,P_%,-0.1509,0.1402,0.1509
Red_glcm_contrast_mean,K_%,-0.0816,0.4270,0.0816
Red_glcm_contrast_mean,Ca_%,-0.0587,0.5681,0.0587
Red_glcm_contrast_mean,Mg_%,-0.0495,0.6301,0.0495
Red_glcm_contrast_mean,S_%,-0.1653,0.1057,0.1653
Red_glcm_contrast_mean,Нитраты_мг_кг,-0.1309,0.2035,0.1309
Red_glcm_contrast_mean,Fe_мг_кг,0.0136,0.8946,0.0136
Red_glcm_contrast_mean,Mn_мг_кг,0.2187,0.0314,0.2187
Red_glcm_contrast_mean,Cu_мг_кг,-0.0246,0.8113,0.0246
Red_glcm_contrast_mean,Zn_мг_кг,-0.0372,0.7173,0.0372
Red_glcm_contrast_mean,Co_мг_кг,-0.0099,0.9479,0.0099
Red_glcm_contrast_std,N_%,-0.0315,0.7591,0.0315
Red_glcm_contrast_std,P_%,-0.1337,0.1918,0.1337
Red_glcm_contrast_std,K_%,-0.0593,0.5637,0.0593
Red_glcm_contrast_std,Ca_%,-0.0692,0.5005,0.0692
Red_glcm_contrast_std,Mg_%,-0.0569,0.5799,0.0569
Red_glcm_contrast_std,S_%,-0.1497,0.1434,0.1497
Red_glcm_contrast_std,Нитраты_мг_кг,-0.0898,0.3840,0.0898
Red_glcm_contrast_std,Fe_мг_кг,0.0625,0.5431,0.0625
Red_glcm_contrast_std,Mn_мг_кг,0.2526,0.0125,0.2526
Red_glcm_contrast_std,Cu_мг_кг,0.0104,0.9197,0.0104
Red_glcm_contrast_std,Zn_мг_кг,0.0078,0.9393,0.0078
Red_glcm_contrast_std,Co_мг_кг,0.0105,0.9446,0.0105
Red_glcm_dissimilarity_mean,N_%,-0.0254,0.8048,0.0254
Red_glcm_dissimilarity_mean,P_%,-0.1382,0.1770,0.1382
Red_glcm_dissimilarity_mean,K_%,-0.0452,0.6604,0.0452
Red_glcm_dissimilarity_mean,Ca_%,-0.0528,0.6075,0.0528
Red_glcm_dissimilarity_mean,Mg_%,-0.0497,0.6289,0.0497
Red_glcm_dissimilarity_mean,S_%,-0.1338,0.1915,0.1338
Red_glcm_dissimilarity_mean,Нитраты_мг_кг,-0.1296,0.2084,0.1296
Red_glcm_dissimilarity_mean,Fe_мг_кг,0.0371,0.7182,0.0371
Red_glcm_dissimilarity_mean,Mn_мг_кг,0.2183,0.0317,0.2183
Red_glcm_dissimilarity_mean,Cu_мг_кг,-0.0172,0.8674,0.0172
Red_glcm_dissimilarity_mean,Zn_мг_кг,-0.0238,0.8169,0.0238
Red_glcm_dissimilarity_mean,Co_мг_кг,0.0138,0.9275,0.0138
Red_glcm_dissimilarity_std,N_%,0.0280,0.7856,0.0280
Red_glcm_dissimilarity_std,P_%,-0.1069,0.2975,0.1069
Red_glcm_dissimilarity_std,K_%,0.0034,0.9733,0.0034
Red_glcm_dissimilarity_std,Ca_%,-0.0555,0.5893,0.0555
Red_glcm_dissimilarity_std,Mg_%,-0.0598,0.5609,0.0598
Red_glcm_dissimilarity_std,S_%,-0.1087,0.2894,0.1087
Red_glcm_dissimilarity_std,Нитраты_мг_кг,-0.0839,0.4166,0.0839
Red_glcm_dissimilarity_std,Fe_мг_кг,0.1358,0.1847,0.1358
Red_glcm_dissimilarity_std,Mn_мг_кг,0.2617,0.0096,0.2617
Red_glcm_dissimilarity_std,Cu_мг_кг,0.0204,0.8429,0.0204
Red_glcm_dissimilarity_std,Zn_мг_кг,0.0243,0.8131,0.0243
Red_glcm_dissimilarity_std,Co_мг_кг,0.0945,0.5324,0.0945
Red_glcm_homogeneity_mean,N_%,0.0117,0.9094,0.0117
Red_glcm_homogeneity_mean,P_%,0.1332,0.1933,0.1332
Red_glcm_homogeneity_mean,K_%,0.0331,0.7478,0.0331
Red_glcm_homogeneity_mean,Ca_%,0.0506,0.6224,0.0506
Red_glcm_homogeneity_mean,Mg_%,0.0495,0.6300,0.0495
Red_glcm_homogeneity_mean,S_%,0.1228,0.2308,0.1228
Red_glcm_homogeneity_mean,Нитраты_мг_кг,0.1283,0.2127,0.1283
Red_glcm_homogeneity_mean,Fe_мг_кг,-0.0444,0.6656,0.0444
Red_glcm_homogeneity_mean,Mn_мг_кг,-0.2168,0.0329,0.2168
Red_glcm_homogeneity_mean,Cu_мг_кг,0.0147,0.8863,0.0147
Red_glcm_homogeneity_mean,Zn_мг_кг,0.0193,0.8510,0.0193
Red_glcm_homogeneity_mean,Co_мг_кг,-0.0218,0.8855,0.0218
Red_glcm_homogeneity_std,N_%,0.0624,0.5438,0.0624
Red_glcm_homogeneity_std,P_%,-0.0844,0.4114,0.0844
Red_glcm_homogeneity_std,K_%,0.0418,0.6846,0.0418
Red_glcm_homogeneity_std,Ca_%,-0.0445,0.6654,0.0445
