,Red_glcm_contrast_mean,Red_glcm_contrast_std,Red_glcm_dissimilarity_mean,Red_glcm_dissimilarity_std,Red_glcm_homogeneity_mean,Red_glcm_homogeneity_std,Red_glcm_energy_mean,Red_glcm_energy_std,Red_glcm_correlation_mean,Red_glcm_correlation_std,Red_glcm_ASM_mean,Red_glcm_ASM_std,Red_lbp_bin0,Red_lbp_bin1,Red_lbp_bin2,Red_lbp_bin3,Red_lbp_bin4,Red_lbp_bin5,Red_lbp_bin6,Red_lbp_bin7,NIR_glcm_contrast_mean,NIR_glcm_contrast_std,NIR_glcm_dissimilarity_mean,NIR_glcm_dissimilarity_std,NIR_glcm_homogeneity_mean,NIR_glcm_homogeneity_std,NIR_glcm_energy_mean,NIR_glcm_energy_std,NIR_glcm_correlation_mean,NIR_glcm_correlation_std,NIR_glcm_ASM_mean,NIR_glcm_ASM_std,NIR_gabor_f0.10_t0.00_mean,NIR_gabor_f0.10_t0.00_std,NIR_gabor_f0.10_t0.79_mean,NIR_gabor_f0.10_t0.79_std,NIR_gabor_f0.10_t1.57_mean,NIR_gabor_f0.10_t1.57_std,NIR_gabor_f0.10_t2.36_mean,NIR_gabor_f0.10_t2.36_std,NIR_gabor_f0.25_t0.00_mean,NIR_gabor_f0.25_t0.00_std,NIR_gabor_f0.25_t0.79_mean,NIR_gabor_f0.25_t0.79_std,NIR_gabor_f0.25_t1.57_mean,NIR_gabor_f0.25_t1.57_std,NIR_gabor_f0.25_t2.36_mean,NIR_gabor_f0.25_t2.36_std,NIR_gabor_f0.40_t0.00_mean,NIR_gabor_f0.40_t0.00_std,NIR_gabor_f0.40_t0.79_mean,NIR_gabor_f0.40_t0.79_std,NIR_gabor_f0.40_t1.57_mean,NIR_gabor_f0.40_t1.57_std,NIR_gabor_f0.40_t2.36_mean,NIR_gabor_f0.40_t2.36_std,NIR_lbp_bin0,NIR_lbp_bin1,NIR_lbp_bin2,NIR_lbp_bin3,NIR_lbp_bin4,NIR_lbp_bin5,NIR_lbp_bin6,NIR_lbp_bin7,RedEdge_glcm_contrast_mean,RedEdge_glcm_contrast_std,RedEdge_glcm_dissimilarity_mean,RedEdge_glcm_dissimilarity_std,RedEdge_glcm_homogeneity_mean,RedEdge_glcm_homogeneity_std,RedEdge_glcm_energy_mean,RedEdge_glcm_energy_std,RedEdge_glcm_correlation_mean,RedEdge_glcm_correlation_std,RedEdge_glcm_ASM_mean,RedEdge_glcm_ASM_std,RedEdge_gabor_f0.10_t0.00_mean,RedEdge_gabor_f0.10_t0.00_std,RedEdge_gabor_f0.10_t0.79_mean,RedEdge_gabor_f0.10_t0.79_std,RedEdge_gabor_f0.10_t1.57_mean,RedEdge_gabor_f0.10_t1.57_std,RedEdge_gabor_f0.10_t2.36_mean,RedEdge_gabor_f0.10_t2.36_std,RedEdge_gabor_f0.25_t0.00_mean,RedEdge_gabor_f0.25_t0.00_std,RedEdge_gabor_f0.25_t0.79_mean,RedEdge_gabor_f0.25_t0.79_std,RedEdge_gabor_f0.25_t1.57_mean,RedEdge_gabor_f0.25_t1.57_std,RedEdge_gabor_f0.25_t2.36_mean,RedEdge_gabor_f0.25_t2.36_std,RedEdge_gabor_f0.40_t0.00_mean,RedEdge_gabor_f0.40_t0.00_std,RedEdge_gabor_f0.40_t0.79_mean,RedEdge_gabor_f0.40_t0.79_std,RedEdge_gabor_f0.40_t1.57_mean,RedEdge_gabor_f0.40_t1.57_std,RedEdge_gabor_f0.40_t2.36_mean,RedEdge_gabor_f0.40_t2.36_std,RedEdge_lbp_bin0,RedEdge_lbp_bin1,RedEdge_lbp_bin2,RedEdge_lbp_bin3,RedEdge_lbp_bin4,RedEdge_lbp_bin5,RedEdge_lbp_bin6,RedEdge_lbp_bin7
1,0.314478,0.088046,0.300691,0.075931,0.851033,0.036761,0.509822,0.026953,0.713994,0.082004,0.260645,0.027481,0.069010,0.049479,0.038194,0.057292,0.049913,0.025174,0.026910,0.128472,1.605992,0.482364,0.944632,0.173510,0.592599,0.057959,0.251982,0.015328,0.429340,0.172093,0.063730,0.008114,0.048202,0.005104,0.048987,0.004872,0.048235,0.005352,0.048900,0.005455,0.002274,0.001074,0.002357,0.001242,0.003537,0.001993,0.002227,0.001168,0.000771,0.000546,0.000852,0.000499,0.001592,0.000856,0.000796,0.000444,0.094184,0.029514,0.027778,0.017361,0.033420,0.022135,0.031684,0.188368,0.571764,0.163135,0.499883,0.110122,0.757246,0.049894,0.444829,0.022901,0.380825,0.175153,0.198397,0.021251,0.030473,0.002850,0.030986,0.002860,0.030491,0.003002,0.030898,0.002932,0.000954,0.000506,0.001172,0.000564,0.002028,0.001082,0.001301,0.000606,0.000317,0.000199,0.000403,0.000233,0.000818,0.000430,0.000484,0.000272,0.095486,0.026042,0.025174,0.018229,0.037326,0.016927,0.034288,0.190972
2,0.271122,0.084364,0.266185,0.078254,0.867401,0.038524,0.636762,0.030625,0.443810,0.177513,0.406404,0.039404,0.085503,0.023003,0.022569,0.058160,0.049913,0.012153,0.038194,0.154948,1.784576,0.563923,1.003494,0.188560,0.574811,0.059460,0.237496,0.015210,0.469393,0.169381,0.056636,0.007631,0.054288,0.005613,0.055239,0.006190,0.054402,0.006703,0.055072,0.005881,0.002371,0.001249,0.002276,0.001366,0.004103,0.002222,0.002290,0.001220,0.000745,0.000487,0.000769,0.000428,0.001734,0.000731,0.000728,0.000385,0.101997,0.025608,0.017795,0.017795,0.035156,0.018229,0.036024,0.191840,0.683868,0.218784,0.573086,0.132179,0.724535,0.057900,0.390613,0.025615,0.417541,0.189174,0.153235,0.021130,0.030360,0.002922,0.030864,0.003200,0.030447,0.003717,0.030852,0.003357,0.001062,0.000587,0.001083,0.000646,0.002438,0.001178,0.001369,0.000708,0.000293,0.000218,0.000330,0.000160,0.001119,0.000503,0.000439,0.000238,0.096788,0.023438,0.023003,0.021701,0.034722,0.016927,0.037760,0.190104
3,0.522491,0.178030,0.457812,0.120099,0.777562,0.054405,0.373185,0.029989,0.678519,0.110290,0.140166,0.022828,0.076823,0.032118,0.034722,0.058594,0.071181,0.016493,0.026042,0.128472,1.756230,0.662739,0.985310,0.216311,0.582448,0.068015,0.231400,0.018137,0.506042,0.185100,0.053875,0.008988,0.053824,0.005610,0.054755,0.006347,0.053983,0.006855,0.054643,0.005773,0.002014,0.001147,0.002522,0.001217,0.004244,0.002432,0.002246,0.001194,0.000461,0.000278,0.000607,0.000307,0.001401,0.000754,0.000683,0.000330,0.081163,0.036458,0.032552,0.039062,0.046875,0.020399,0.027344,0.160590,0.668878,0.226532,0.548457,0.125975,0.737758,0.053756,0.360623,0.026701,0.544311,0.158330,0.130762,0.020425,0.037404,0.003947,0.037971,0.004124,0.037492,0.004695,0.038054,0.004490,0.000954,0.000502,0.001160,0.000580,0.002419,0.001334,0.001562,0.000726,0.000262,0.000149,0.000276,0.000155,0.000907,0.000525,0.000422,0.000231,0.081597,0.030816,0.025608,0.036024,0.042101,0.019097,0.033420,0.175781
4,0.200584,0.041486,0.200324,0.041075,0.899864,0.020497,0.610664,0.018824,0.586275,0.086365,0.373265,0.022832,0.069878,0.039931,0.050347,0.046441,0.061632,0.031250,0.022135,0.122830,1.736280,0.642190,0.993160,0.222531,0.576203,0.071848,0.253538,0.015783,0.371024,0.234253,0.064530,0.008287,0.044462,0.005126,0.045123,0.005138,0.044410,0.004596,0.045090,0.004488,0.003644,0.002098,0.002852,0.001747,0.002132,0.001250,0.001389,0.000750,0.001539,0.000844,0.000945,0.000453,0.000761,0.000442,0.000548,0.000304,0.101562,0.018663,0.011285,0.016927,0.027778,0.012587,0.033854,0.221788,0.627421,0.192872,0.530090,0.112664,0.744688,0.048644,0.413875,0.021118,0.389615,0.192462,0.171739,0.018019,0.029558,0.003262,0.030000,0.003232,0.029529,0.002965,0.029979,0.002935,0.001977,0.001133,0.001538,0.000980,0.001128,0.000667,0.000899,0.000515,0.000875,0.000464,0.000547,0.000302,0.000392,0.000208,0.000311,0.000158,0.105035,0.017795,0.015625,0.021701,0.031684,0.018229,0.036458,0.197917
5,0.353095,0.102931,0.340079,0.087832,0.831262,0.042435,0.436895,0.028316,0.729494,0.075741,0.191679,0.024604,0.052517,0.051649,0.059028,0.065538,0.075955,0.029948,0.017795,0.092014,1.462939,0.594447,0.905331,0.224387,0.602534,0.075971,0.208910,0.019068,0.738421,0.105832,0.044007,0.007962,0.049137,0.009538,0.050037,0.010270,0.049203,0.009955,0.049746,0.008920,0.002408,0.001277,0.003119,0.001558,0.002718,0.001468,0.001425,0.000790,0.000425,0.000262,0.000827,0.000409,0.000721,0.000396,0.000361,0.000212,0.067274,0.040365,0.038628,0.066840,0.075955,0.031250,0.018663,0.105469,0.423545,0.122587,0.400904,0.095698,0.801812,0.045257,0.396401,0.027378,0.701817,0.087761,0.157883,0.021795,0.031694,0.004724,0.032239,0.005127,0.031751,0.005055,0.032160,0.004622,0.000864,0.000441,0.001403,0.000707,0.001213,0.000646,0.000740,0.000399,0.000236,0.000139,0.000458,0.000238,0.000307,0.000186,0.000262,0.000138,0.057292,0.052951,0.050347,0.054688,0.075955,0.025608,0.017361,0.110243
6,0.410841,0.125027,0.373660,0.085984,0.816888,0.039235,0.475040,0.025473,0.629378,0.114519,0.226312,0.024223,0.066840,0.034722,0.048611,0.055556,0.072049,0.031684,0.022569,0.112413,2.427219,0.835014,1.169799,0.218735,0.533705,0.055988,0.176570,0.012733,0.664457,0.116397,0.031339,0.004561,0.049905,0.009606,0.050890,0.011200,0.050193,0.010955,0.050629,0.008999,0.003033,0.001645,0.003372,0.001711,0.003915,0.002051,0.002501,0.001303,0.000913,0.000568,0.000972,0.000440,0.001270,0.000722,0.000826,0.000426,0.069878,0.039931,0.040365,0.049479,0.055122,0.028212,0.020833,0.140625,0.789395,0.227281,0.620596,0.111362,0.706564,0.044675,0.316553,0.017362,0.592865,0.118048,0.100507,0.011249,0.032199,0.004666,0.032723,0.005368,0.032334,0.005472,0.032753,0.004618,0.001634,0.000837,0.001619,0.000865,0.002135,0.001048,0.001661,0.000802,0.000506,0.000279,0.000472,0.000250,0.000756,0.000456,0.000496,0.000238,0.075521,0.035156,0.029948,0.046875,0.060330,0.032986,0.022135,0.141493
7,0.296904,0.071810,0.278967,0.054867,0.862310,0.025783,0.574231,0.020357,0.591808,0.099914,0.330155,0.023427,0.063802,0.039497,0.047309,0.052517,0.069444,0.029948,0.023872,0.118056,1.812176,0.499677,1.005367,0.163183,0.575942,0.049889,0.211781,0.012914,0.612790,0.105354,0.045018,0.005634,0.055233,0.008055,0.056169,0.008445,0.055243,0.008154,0.055942,0.007484,0.002756,0.001435,0.002896,0.001473,0.003470,0.001957,0.002329,0.001236,0.001157,0.000577,0.001044,0.000557,0.001389,0.000802,0.000666,0.000375,0.077691,0.040365,0.036892,0.030816,0.042101,0.017795,0.026042,0.172743,0.729111,0.158399,0.585150,0.091432,0.721803,0.039073,0.356097,0.015323,0.475225,0.113294,0.127040,0.011054,0.033917,0.003846,0.034504,0.004041,0.033919,0.003846,0.034343,0.003468,0.001573,0.000888,0.001676,0.000866,0.002067,0.001143,0.001223,0.000708,0.000609,0.000418,0.000670,0.000386,0.000898,0.000486,0.000413,0.000232,0.079427,0.039497,0.029514,0.025174,0.053819,0.016927,0.031250,0.168837
8,0.434888,0.121461,0.399268,0.091409,0.803928,0.042796,0.469281,0.026995,0.582570,0.116073,0.220954,0.025443,0.063368,0.038194,0.045139,0.055990,0.060330,0.026910,0.021701,0.132812,1.337623,0.353721,0.855713,0.135379,0.620096,0.046503,0.268460,0.013168,0.473220,0.138854,0.072244,0.007295,0.038365,0.005464,0.038939,0.005168,0.038321,0.005122,0.038865,0.005109,0.002337,0.001269,0.002041,0.000983,0.003186,0.001580,0.002121,0.001161,0.000836,0.000447,0.000685,0.000416,0.001192,0.000636,0.000689,0.000378,0.087674,0.031684,0.027344,0.025174,0.045573,0.023003,0.036458,0.167535,0.559491,0.119204,0.495861,0.077251,0.758432,0.034547,0.410215,0.017522,0.488730,0.107878,0.168584,0.014604,0.030773,0.003351,0.031267,0.003342,0.030800,0.003577,0.031227,0.003449,0.001335,0.000669,0.001243,0.000653,0.001755,0.000877,0.001535,0.000849,0.000487,0.000293,0.000399,0.000208,0.000605,0.000323,0.000475,0.000237,0.080295,0.038194,0.027778,0.027778,0.054253,0.026476,0.026042,0.163628
9,0.369545,0.105944,0.351089,0.087063,0.826301,0.041692,0.509773,0.029263,0.520626,0.140155,0.260725,0.030147,0.080295,0.038628,0.028646,0.036458,0.047309,0.024306,0.029948,0.158854,1.568172,0.436882,0.935537,0.152361,0.594824,0.049502,0.247499,0.013981,0.504218,0.137692,0.061451,0.007202,0.043644,0.005862,0.044365,0.006475,0.043723,0.006351,0.044287,0.005500,0.002444,0.001486,0.002818,0.001447,0.003376,0.001872,0.001990,0.001046,0.000604,0.000335,0.000640,0.000336,0.001344,0.000551,0.000640,0.000334,0.083767,0.041233,0.024740,0.023872,0.032552,0.022569,0.031250,0.184462,0.603415,0.145162,0.528083,0.094204,0.743492,0.042251,0.405845,0.020087,0.430029,0.138137,0.165114,0.016997,0.032304,0.003056,0.032773,0.003378,0.032350,0.003494,0.032849,0.003023,0.001240,0.000681,0.001340,0.000640,0.001926,0.001076,0.001338,0.000740,0.000303,0.000177,0.000373,0.000168,0.000771,0.000361,0.000389,0.000228,0.081597,0.036892,0.026476,0.026042,0.035590,0.017361,0.035156,0.185330
10,0.449346,0.120811,0.421267,0.092781,0.792175,0.043658,0.452597,0.023095,0.472159,0.141930,0.205378,0.021306,0.088108,0.028212,0.024306,0.037760,0.041667,0.013455,0.032118,0.178819,1.490156,0.379004,0.910355,0.141903,0.602095,0.048796,0.272220,0.013991,0.381001,0.156365,0.074300,0.007951,0.025755,0.004314,0.026182,0.004667,0.025810,0.004691,0.026094,0.003964,0.002398,0.001462,0.002524,0.001271,0.003386,0.001889,0.001877,0.000933,0.000811,0.000528,0.000883,0.000426,0.001436,0.000733,0.000632,0.000346,0.092014,0.025174,0.017361,0.027344,0.043837,0.020399,0.031250,0.187066,0.572454,0.125004,0.511646,0.085388,0.750258,0.038898,0.427068,0.017597,0.378031,0.135551,0.182697,0.015489,0.024371,0.002577,0.024749,0.002770,0.024398,0.002853,0.024743,0.002497,0.001338,0.000798,0.001449,0.000680,0.001880,0.000988,0.001236,0.000560,0.000373,0.000209,0.000456,0.000228,0.000721,0.000350,0.000435,0.000228,0.084635,0.039931,0.021267,0.027344,0.042969,0.025174,0.025174,0.177951
