element,date,model,nugget,partial_sill,total_sill,range_m,nugget_ratio,fit_rmse,note,moran_I,moran_z,moran_p
N_%,date1,gaussian,0.0000,0.1645,0.1645,21.8000,0.0000,0.0151,,0.0859,2.1950,0.0282
P_%,date1,exponential,0.0011,0.0047,0.0057,80.5000,0.1860,0.0003,,0.1181,2.9310,0.0034
K_%,date1,exponential,0.1704,0.3145,0.4849,77.5000,0.3510,0.0296,,0.1803,4.3550,0.0000
Ca_%,date1,gaussian,0.0128,0.0229,0.0357,204.8000,0.3580,0.0060,,0.3757,8.8220,0.0000
Mg_%,date1,spherical,0.0101,0.0000,0.0101,204.8000,1.0000,0.0047,,0.2574,6.1160,0.0000
S_%,date1,exponential,0.0000,0.0024,0.0024,83.6000,0.0170,0.0002,,0.3037,7.1770,0.0000
Нитраты_мг_кг,date1,spherical,3731306.3155,621254.8671,4352561.1825,96.9000,0.8570,413350.6266,,0.1752,4.2380,0.0000
Fe_мг_кг,date1,exponential,4816.2728,0.2336,4816.5064,0.9000,1.0000,1368.6035,,0.0988,2.4910,0.0127
Mn_мг_кг,date1,exponential,6.2043,360.8648,367.0691,109.9000,0.0170,23.8116,,0.2211,5.2880,0.0000
Cu_мг_кг,date1,exponential,2.3249,0.0000,2.3249,204.8000,1.0000,1.5384,,0.2326,5.4790,0.0000
Zn_мг_кг,date1,gaussian,0.0000,45.0276,45.0276,31.0000,0.0000,4.2693,,0.1281,3.1590,0.0016
Co_мг_кг,date1,spherical,0.2130,0.2009,0.4139,204.8000,0.5150,0.0896,,0.1853,3.7660,0.0002
N_%,date2,gaussian,0.3255,0.0000,0.3255,204.8000,1.0000,0.3641,,0.1186,2.9160,0.0035
P_%,date2,exponential,0.0020,0.0020,0.0040,148.2000,0.4940,0.0003,,0.1298,3.1680,0.0015
K_%,date2,exponential,0.2112,0.0932,0.3044,95.1000,0.6940,0.0281,,0.1081,2.6770,0.0074
Ca_%,date2,gaussian,0.0000,0.0071,0.0071,30.5000,0.0000,0.0006,,0.1142,2.8160,0.0049
Mg_%,date2,exponential,0.0006,0.0012,0.0019,153.6000,0.3370,0.0001,,0.1133,2.7960,0.0052
S_%,date2,gaussian,0.0000,0.0017,0.0018,27.5000,0.0250,0.0001,,0.0784,2.0060,0.0448
Нитраты_мг_кг,date2,exponential,5573471.4476,0.0000,5573471.4476,204.8000,1.0000,6968948.2025,,0.0315,0.9420,0.3464
Fe_мг_кг,date2,exponential,0.0000,19478.0067,19478.0067,103.9000,0.0000,1685.7759,,0.2579,6.0620,0.0000
Mn_мг_кг,date2,exponential,0.0000,156.5258,156.5258,148.8000,0.0000,15.1470,,0.1647,3.9560,0.0001
Cu_мг_кг,date2,gaussian,1.3551,0.1490,1.5041,204.8000,0.9010,0.6027,,0.5198,11.9800,0.0000
Zn_мг_кг,date2,gaussian,17.0202,0.0000,17.0202,204.8000,1.0000,9.0907,,0.3173,7.4050,0.0000
Co_мг_кг,date2,spherical,0.0406,0.0822,0.1227,76.3000,0.3310,0.0253,,0.0560,1.3520,0.1763
