element,short_name,n_valid,buffer_m,best_model,R2,R2_ci_lo,R2_ci_hi,RMSE,MAE,RPD,p_perm,significant,n_predicted
N_%,N,197,43.0000,RF,0.3855,0.2471,0.4965,0.5071,0.3820,1.2756,,,197
S_%,S,197,43.0000,RF,0.3156,0.1812,0.4343,0.0520,0.0400,1.2087,,,197
Ca_%,Ca,197,43.0000,RF,0.2502,0.1369,0.3551,0.1364,0.1023,1.1549,,,197
Fe_мг_кг,Fe,197,43.0000,RF,0.1616,0.0420,0.2612,120.4469,85.6293,1.0922,,,197
Zn_мг_кг,Zn,197,43.0000,RF,0.1339,-0.0543,0.3441,13.5868,8.1670,1.0745,,,197
K_%,K,197,43.0000,RF,0.1043,-0.0565,0.2421,0.6507,0.5093,1.0566,,,197
Mg_%,Mg,197,43.0000,RF,0.1033,-0.0113,0.2349,0.0853,0.0593,1.0560,,,197
P_%,P,197,43.0000,RF,0.0883,-0.0291,0.2011,0.0681,0.0551,1.0473,,,197
Cu_мг_кг,Cu,194,43.0000,RF,0.0551,-0.0516,0.1717,2.2578,1.6526,1.0288,,,194
Mn_мг_кг,Mn,197,43.0000,RF,0.0213,-0.0947,0.1899,18.3919,12.8583,1.0108,,,197
Нитраты_мг_кг,NO₃,196,43.0000,RF,-0.0557,-0.1587,0.0545,2798.3895,1919.6466,0.9733,,,196
