element,short_name,n_valid,buffer_m,best_model,R2,R2_ci_lo,R2_ci_hi,RMSE,MAE,RPD,p_perm,significant,perm_mean_R2,n_predicted
N_%,N,197,30,ET,0.4053,0.2629,0.5235,0.4988,0.3727,1.2968,,,,197
Ca_%,Ca,197,30,RF,0.3706,0.2241,0.4754,0.1250,0.0978,1.2604,,,,197
S_%,S,197,55,ET,0.3683,0.2250,0.4808,0.0500,0.0375,1.2582,,,,197
Co_мг_кг,Co,107,76,RF,0.1369,-0.0446,0.2742,0.4780,0.3500,1.0764,,,,107
Fe_мг_кг,Fe,197,100,ET,0.1333,0.0081,0.2460,122.4645,89.5968,1.0742,,,,197
Cu_мг_кг,Cu,194,30,RF,0.1118,0.0132,0.2078,2.1890,1.6138,1.0611,,,,194
P_%,P,197,100,ElasticNet,0.1022,-0.0089,0.2111,0.0676,0.0537,1.0554,,,,197
K_%,K,197,86,ET,0.0808,-0.0494,0.1955,0.6592,0.5259,1.0430,,,,197
Mg_%,Mg,197,30,GBR,0.0004,-0.1460,0.1805,0.0901,0.0650,1.0002,,,,197
Нитраты_мг_кг,NO₃,196,30,ET,-0.0517,-0.1501,0.0456,2793.1560,1986.3331,0.9751,,,,196
Zn_мг_кг,Zn,197,31,ET,-0.0945,-0.2366,0.0466,15.2733,8.8321,0.9559,,,,197
Mn_мг_кг,Mn,197,100,ET,-0.1035,-0.2978,0.0309,19.5290,13.8571,0.9520,,,,197
