wl,idx,r,p,rho,n,element,prep
390.040000,0.000000,0.311312,0.015470,0.309695,60.000000,N_%,raw
392.070000,1.000000,0.349599,0.006181,0.363687,60.000000,N_%,raw
394.090000,2.000000,0.370010,0.003616,0.389446,60.000000,N_%,raw
396.120000,3.000000,0.380730,0.002691,0.400728,60.000000,N_%,raw
398.140000,4.000000,0.386105,0.002312,0.413899,60.000000,N_%,raw
400.170000,5.000000,0.388242,0.002175,0.410454,60.000000,N_%,raw
402.200000,6.000000,0.388484,0.002160,0.413094,60.000000,N_%,raw
404.220000,7.000000,0.385848,0.002329,0.415372,60.000000,N_%,raw
406.250000,8.000000,0.381563,0.002629,0.411482,60.000000,N_%,raw
408.280000,9.000000,0.377183,0.002971,0.413816,60.000000,N_%,raw
410.310000,10.000000,0.372077,0.003418,0.405674,60.000000,N_%,raw
412.350000,11.000000,0.367755,0.003843,0.390558,60.000000,N_%,raw
414.380000,12.000000,0.364161,0.004232,0.381693,60.000000,N_%,raw
416.410000,13.000000,0.362172,0.004461,0.375941,60.000000,N_%,raw
418.450000,14.000000,0.360918,0.004611,0.370884,60.000000,N_%,raw
420.480000,15.000000,0.360785,0.004627,0.379720,60.000000,N_%,raw
422.520000,16.000000,0.360839,0.004621,0.371773,60.000000,N_%,raw
424.550000,17.000000,0.361566,0.004533,0.366744,60.000000,N_%,raw
426.590000,18.000000,0.362429,0.004431,0.372190,60.000000,N_%,raw
428.630000,19.000000,0.362941,0.004371,0.369884,60.000000,N_%,raw
430.670000,20.000000,0.364129,0.004235,0.382055,60.000000,N_%,raw
432.710000,21.000000,0.365451,0.004088,0.379248,60.000000,N_%,raw
434.750000,22.000000,0.365078,0.004129,0.373802,60.000000,N_%,raw
436.790000,23.000000,0.364721,0.004169,0.368355,60.000000,N_%,raw
438.830000,24.000000,0.364129,0.004235,0.375080,60.000000,N_%,raw
440.870000,25.000000,0.362626,0.004408,0.378665,60.000000,N_%,raw
442.920000,26.000000,0.360599,0.004650,0.369689,60.000000,N_%,raw
444.960000,27.000000,0.359028,0.004846,0.359019,60.000000,N_%,raw
447.010000,28.000000,0.357988,0.004980,0.358463,60.000000,N_%,raw
449.050000,29.000000,0.356679,0.005152,0.354572,60.000000,N_%,raw
451.100000,30.000000,0.356103,0.005230,0.354489,60.000000,N_%,raw
453.150000,31.000000,0.355490,0.005314,0.355267,60.000000,N_%,raw
455.200000,32.000000,0.355067,0.005372,0.355879,60.000000,N_%,raw
457.250000,33.000000,0.354750,0.005417,0.344069,60.000000,N_%,raw
459.300000,34.000000,0.353964,0.005528,0.343179,60.000000,N_%,raw
461.350000,35.000000,0.352756,0.005702,0.336622,60.000000,N_%,raw
463.400000,36.000000,0.351905,0.005828,0.331898,60.000000,N_%,raw
465.450000,37.000000,0.351002,0.005964,0.329841,60.000000,N_%,raw
467.500000,38.000000,0.350167,0.006093,0.329008,60.000000,N_%,raw
469.560000,39.000000,0.349169,0.006249,0.332787,60.000000,N_%,raw
471.610000,40.000000,0.348490,0.006358,0.335566,60.000000,N_%,raw
473.670000,41.000000,0.348247,0.006397,0.336399,60.000000,N_%,raw
475.730000,42.000000,0.348748,0.006317,0.333065,60.000000,N_%,raw
477.780000,43.000000,0.349463,0.006203,0.333398,60.000000,N_%,raw
479.840000,44.000000,0.350461,0.006047,0.337288,60.000000,N_%,raw
481.900000,45.000000,0.352237,0.005779,0.338872,60.000000,N_%,raw
483.960000,46.000000,0.354173,0.005498,0.335427,60.000000,N_%,raw
486.020000,47.000000,0.355425,0.005323,0.342290,60.000000,N_%,raw
488.080000,48.000000,0.356591,0.005164,0.340762,60.000000,N_%,raw
490.150000,49.000000,0.357061,0.005101,0.342262,60.000000,N_%,raw
492.210000,50.000000,0.356390,0.005191,0.340567,60.000000,N_%,raw
494.270000,51.000000,0.355349,0.005333,0.331425,60.000000,N_%,raw
496.340000,52.000000,0.354176,0.005498,0.329119,60.000000,N_%,raw
498.400000,53.000000,0.353076,0.005655,0.327229,60.000000,N_%,raw
50047.000000,54.000000,0.351921,0.005826,0.328619,60.000000,N_%,raw
502.540000,55.000000,0.351063,0.005955,0.328563,60.000000,N_%,raw
504.610000,56.000000,0.350294,0.006073,0.326090,60.000000,N_%,raw
506.680000,57.000000,0.349079,0.006264,0.321227,60.000000,N_%,raw
508.740000,58.000000,0.347521,0.006516,0.314836,60.000000,N_%,raw
510.820000,59.000000,0.344925,0.006956,0.304277,60.000000,N_%,raw
512.890000,60.000000,0.341712,0.007536,0.300747,60.000000,N_%,raw
514.960000,61.000000,0.338465,0.008165,0.299469,60.000000,N_%,raw
517.030000,62.000000,0.335219,0.008839,0.298469,60.000000,N_%,raw
519.110000,63.000000,0.332245,0.009499,0.286326,60.000000,N_%,raw
521.180000,64.000000,0.329569,0.010129,0.267875,60.000000,N_%,raw
523.260000,65.000000,0.327473,0.010647,0.259038,60.000000,N_%,raw
525.330000,66.000000,0.325776,0.011083,0.261261,60.000000,N_%,raw
527.410000,67.000000,0.323292,0.011749,0.251563,60.000000,N_%,raw
529.490000,68.000000,0.319846,0.012730,0.246700,60.000000,N_%,raw
531.570000,69.000000,0.314848,0.014279,0.240142,60.000000,N_%,raw
533.640000,70.000000,0.309975,0.015942,0.231945,60.000000,N_%,raw
535.730000,71.000000,0.305391,0.017655,0.225053,60.000000,N_%,raw
537.810000,72.000000,0.301277,0.019324,0.215105,60.000000,N_%,raw
539.890000,73.000000,0.297903,0.020791,0.217356,60.000000,N_%,raw
541.970000,74.000000,0.295223,0.022022,0.211854,60.000000,N_%,raw
544.050000,75.000000,0.293648,0.022775,0.211771,60.000000,N_%,raw
546.140000,76.000000,0.293563,0.022816,0.210382,60.000000,N_%,raw
548.220000,77.000000,0.294377,0.022424,0.207408,60.000000,N_%,raw
550.310000,78.000000,0.295483,0.021900,0.206436,60.000000,N_%,raw
552.400000,79.000000,0.296216,0.021559,0.205380,60.000000,N_%,raw
554.480000,80.000000,0.297549,0.020950,0.211215,60.000000,N_%,raw
556.570000,81.000000,0.299447,0.020108,0.207019,60.000000,N_%,raw
558.660000,82.000000,0.302201,0.018937,0.208409,60.000000,N_%,raw
560.750000,83.000000,0.305533,0.017600,0.213271,60.000000,N_%,raw
562.840000,84.000000,0.309381,0.016156,0.223136,60.000000,N_%,raw
564.930000,85.000000,0.313895,0.014592,0.234640,60.000000,N_%,raw
567.030000,86.000000,0.319133,0.012942,0.244866,60.000000,N_%,raw
569.120000,87.000000,0.324544,0.011409,0.251063,60.000000,N_%,raw
571.210000,88.000000,0.329654,0.010108,0.254814,60.000000,N_%,raw
573.310000,89.000000,0.333170,0.009289,0.262539,60.000000,N_%,raw
575.400000,90.000000,0.335070,0.008871,0.269959,60.000000,N_%,raw
577.500000,91.000000,0.336042,0.008664,0.273543,60.000000,N_%,raw
579.600000,92.000000,0.336267,0.008617,0.270042,60.000000,N_%,raw
581.700000,93.000000,0.335472,0.008785,0.273015,60.000000,N_%,raw
583.800000,94.000000,0.334164,0.009069,0.275544,60.000000,N_%,raw
585.900000,95.000000,0.332589,0.009421,0.275961,60.000000,N_%,raw
588.000000,96.000000,0.331453,0.009682,0.283602,60.000000,N_%,raw
590.100000,97.000000,0.331094,0.009766,0.286548,60.000000,N_%,raw
