model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,n_features
ElasticNet,-0.0158,-0.0409,0.0345,0.1665,0.1248,0.9900,1.0800,100,Ca_%,date1,49
SVR,-0.0185,-0.0692,0.1573,0.1667,0.1282,0.9900,1.0800,100,Ca_%,date1,49
ElasticNet,-0.0245,-0.1041,0.1063,0.0872,0.0705,0.9900,1.6100,97,Ca_%,date2,49
RF,-0.0856,-0.1168,0.2463,0.1721,0.1324,0.9600,1.0500,100,Ca_%,date1,49
RF,-0.1577,-0.1914,0.1336,0.0927,0.0748,0.9300,1.5100,97,Ca_%,date2,49
PLSR,-0.1760,-0.2332,0.2555,0.1792,0.1378,0.9200,1.0000,100,Ca_%,date1,49
SVR,-0.2615,-0.3885,0.3205,0.0968,0.0783,0.8900,1.4500,97,Ca_%,date2,49
GBR,-0.2754,-0.3439,0.4225,0.0973,0.0766,0.8900,1.4400,97,Ca_%,date2,49
GBR,-0.3264,-0.4057,0.3349,0.1903,0.1446,0.8700,0.9500,100,Ca_%,date1,49
XGBoost,-0.4075,-0.5102,0.1880,0.1022,0.0854,0.8400,1.3700,97,Ca_%,date2,49
XGBoost,-0.5055,-0.6010,0.5130,0.2027,0.1579,0.8100,0.8900,100,Ca_%,date1,49
PLSR,-10.2533,-8.0438,15.3070,0.2890,0.1136,0.3000,0.4800,97,Ca_%,date2,49
RF,0.0893,0.0001,0.3496,0.5550,0.4585,1.0500,1.6000,61,Co_мг_кг,date1,49
GBR,0.0398,-0.0850,0.5063,0.5699,0.4722,1.0200,1.5600,61,Co_мг_кг,date1,49
ElasticNet,-0.0115,-0.0413,0.0442,0.5849,0.4737,0.9900,1.5200,61,Co_мг_кг,date1,49
ElasticNet,-0.0362,-0.1353,0.1155,0.3570,0.2851,0.9800,1.2500,46,Co_мг_кг,date2,49
XGBoost,-0.1297,-0.2571,0.5245,0.6181,0.5215,0.9400,1.4400,61,Co_мг_кг,date1,49
SVR,-0.1488,-0.1935,0.1694,0.6233,0.4873,0.9300,1.4200,61,Co_мг_кг,date1,49
RF,-0.2336,-0.4618,0.5292,0.3895,0.3094,0.9000,1.1400,46,Co_мг_кг,date2,49
SVR,-0.2778,-0.5107,0.4882,0.3964,0.3132,0.8800,1.1200,46,Co_мг_кг,date2,49
XGBoost,-0.4970,-0.6880,0.4470,0.4290,0.3284,0.8200,1.0400,46,Co_мг_кг,date2,49
GBR,-0.7055,-1.0264,0.8639,0.4579,0.3687,0.7700,0.9700,46,Co_мг_кг,date2,49
PLSR,-0.8803,-1.6981,2.3124,0.4808,0.3931,0.7300,0.9300,46,Co_мг_кг,date2,49
PLSR,-7.6206,-11.5575,20.4098,1.7075,0.7670,0.3400,0.5200,61,Co_мг_кг,date1,49
ElasticNet,-0.0160,-0.0535,0.0403,2.5877,1.8713,0.9900,0.6500,97,Cu_мг_кг,date1,49
ElasticNet,-0.0180,-0.0482,0.0579,1.7217,1.2825,0.9900,1.1600,97,Cu_мг_кг,date2,49
SVR,-0.0310,-0.2120,0.3564,1.7328,1.2943,0.9800,1.1500,97,Cu_мг_кг,date2,49
SVR,-0.1139,-0.1292,0.0796,2.7095,1.6484,0.9500,0.6200,97,Cu_мг_кг,date1,49
RF,-0.1408,-0.2981,0.5150,2.7421,1.9815,0.9400,0.6100,97,Cu_мг_кг,date1,49
RF,-0.1751,-0.5082,0.5695,1.8499,1.3594,0.9200,1.0800,97,Cu_мг_кг,date2,49
PLSR,-0.2214,-0.3231,0.3348,2.8373,2.1549,0.9000,0.5900,97,Cu_мг_кг,date1,49
GBR,-0.2507,-0.5839,0.5346,1.9084,1.3659,0.8900,1.0500,97,Cu_мг_кг,date2,49
GBR,-0.2994,-0.5212,0.7522,2.9265,2.1167,0.8800,0.5700,97,Cu_мг_кг,date1,49
XGBoost,-0.3653,-0.7506,0.6252,1.9940,1.4533,0.8600,1.0000,97,Cu_мг_кг,date2,49
XGBoost,-0.4098,-0.6918,1.1559,3.0483,2.1753,0.8400,0.5500,97,Cu_мг_кг,date1,49
PLSR,-2.8755,-4.9180,5.4073,3.3595,1.9443,0.5100,0.6000,97,Cu_мг_кг,date2,49
SVR,-0.0744,-0.0986,0.0972,139.8479,102.0105,0.9600,1.1900,97,Fe_мг_кг,date2,49
SVR,-0.0839,-0.1426,0.1377,90.8927,62.0069,0.9600,1.0900,100,Fe_мг_кг,date1,49
ElasticNet,-0.1018,-0.2424,0.1899,91.6412,65.2085,0.9500,1.0800,100,Fe_мг_кг,date1,49
ElasticNet,-0.1064,-0.1310,0.0660,141.9105,108.9417,0.9500,1.1700,97,Fe_мг_кг,date2,49
RF,-0.2202,-0.2786,0.1842,149.0311,115.9662,0.9100,1.1200,97,Fe_мг_кг,date2,49
GBR,-0.3312,-0.4557,0.3471,155.6652,119.3028,0.8700,1.0700,97,Fe_мг_кг,date2,49
XGBoost,-0.3800,-0.4739,0.4144,158.4881,121.5911,0.8500,1.0500,97,Fe_мг_кг,date2,49
RF,-0.4505,-0.8911,0.8568,105.1472,73.9254,0.8300,0.9400,100,Fe_мг_кг,date1,49
XGBoost,-0.6437,-1.1431,1.1983,111.9309,80.0651,0.7800,0.8800,100,Fe_мг_кг,date1,49
GBR,-0.9131,-1.6336,1.7895,120.7556,84.7312,0.7200,0.8200,100,Fe_мг_кг,date1,49
PLSR,-1.0752,-1.2040,1.2273,194.3543,132.0078,0.6900,0.8600,97,Fe_мг_кг,date2,49
