model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
RF,0.0059,-0.0103,0.1279,0.1775,0.1407,1.0000,1.0300,60.0000,Ca_%,date1,hyper_idx,24
SVR,0.0045,-0.0214,0.1423,0.1776,0.1470,1.0000,1.0300,60.0000,Ca_%,date1,hyper_idx,24
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60.0000,Ca_%,date1,raw_smooth,300
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60.0000,Ca_%,date1,deriv1_snv,300
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60.0000,Ca_%,date1,pca_10,10
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60.0000,Ca_%,date1,vip,58
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60.0000,Ca_%,date1,hyper_idx,24
RF,-0.0369,-0.0509,0.2149,0.1813,0.1441,0.9800,1.0100,60.0000,Ca_%,date1,vip,58
ElasticNet,-0.0591,-0.2353,0.2392,0.0932,0.0770,0.9700,1.5000,55.0000,Ca_%,date2,raw_smooth,300
ElasticNet,-0.0591,-0.2353,0.2392,0.0932,0.0770,0.9700,1.5000,55.0000,Ca_%,date2,deriv1_snv,300
ElasticNet,-0.0591,-0.2353,0.2392,0.0932,0.0770,0.9700,1.5000,55.0000,Ca_%,date2,pca_10,10
ElasticNet,-0.0591,-0.2353,0.2392,0.0932,0.0770,0.9700,1.5000,55.0000,Ca_%,date2,vip,116
ElasticNet,-0.0591,-0.2353,0.2392,0.0932,0.0770,0.9700,1.5000,55.0000,Ca_%,date2,hyper_idx,24
RF,-0.0601,-0.0719,0.1674,0.1833,0.1454,0.9700,1.0000,60.0000,Ca_%,date1,raw_smooth,300
SVR,-0.0672,-0.1183,0.2583,0.1839,0.1535,0.9700,0.9900,60.0000,Ca_%,date1,deriv1_snv,300
SVR,-0.0832,-0.1151,0.1522,0.1853,0.1464,0.9600,0.9900,60.0000,Ca_%,date1,vip,58
RF,-0.0867,-0.1222,0.1758,0.1856,0.1514,0.9600,0.9800,60.0000,Ca_%,date1,deriv1_snv,300
RF,-0.1396,-0.2951,0.1201,0.0967,0.0805,0.9400,1.4500,55.0000,Ca_%,date2,deriv1_snv,300
XGBoost,-0.2175,-0.2634,0.5123,0.1964,0.1506,0.9100,0.9300,60.0000,Ca_%,date1,hyper_idx,24
SVR,-0.2263,-0.3790,0.2729,0.1003,0.0800,0.9000,1.4000,55.0000,Ca_%,date2,raw_smooth,300
RF,-0.2425,-0.4764,0.2898,0.1009,0.0830,0.9000,1.3900,55.0000,Ca_%,date2,hyper_idx,24
GBR,-0.2472,-0.4175,0.2081,0.1011,0.0820,0.9000,1.3800,55.0000,Ca_%,date2,deriv1_snv,300
SVR,-0.2539,-0.4057,0.3384,0.1014,0.0808,0.8900,1.3800,55.0000,Ca_%,date2,deriv1_snv,300
SVR,-0.2583,-0.2862,0.2772,0.1997,0.1574,0.8900,0.9100,60.0000,Ca_%,date1,raw_smooth,300
GBR,-0.2832,-0.2870,0.4650,0.2017,0.1575,0.8800,0.9000,60.0000,Ca_%,date1,vip,58
SVR,-0.2837,-0.3606,0.2598,0.2017,0.1572,0.8800,0.9000,60.0000,Ca_%,date1,pca_10,10
XGBoost,-0.2849,-0.2937,0.3654,0.2018,0.1583,0.8800,0.9000,60.0000,Ca_%,date1,vip,58
RF,-0.3073,-0.3541,0.1495,0.2035,0.1629,0.8700,0.9000,60.0000,Ca_%,date1,pca_10,10
GBR,-0.3126,-0.3411,0.1137,0.2040,0.1599,0.8700,0.8900,60.0000,Ca_%,date1,hyper_idx,24
XGBoost,-0.3188,-0.5397,0.4533,0.1040,0.0835,0.8700,1.3500,55.0000,Ca_%,date2,deriv1_snv,300
SVR,-0.3393,-0.5870,0.4347,0.1048,0.0861,0.8600,1.3400,55.0000,Ca_%,date2,hyper_idx,24
XGBoost,-0.3538,-0.4255,0.2565,0.2071,0.1693,0.8600,0.8800,60.0000,Ca_%,date1,pca_10,10
GBR,-0.3621,-0.6520,0.4722,0.1057,0.0863,0.8600,1.3200,55.0000,Ca_%,date2,hyper_idx,24
SVR,-0.3748,-0.5248,0.3908,0.1062,0.0839,0.8500,1.3200,55.0000,Ca_%,date2,vip,116
GBR,-0.3920,-0.4098,0.4881,0.2100,0.1611,0.8500,0.8700,60.0000,Ca_%,date1,raw_smooth,300
XGBoost,-0.3981,-0.4411,0.4057,0.2105,0.1596,0.8500,0.8700,60.0000,Ca_%,date1,raw_smooth,300
RF,-0.4046,-0.6423,0.3360,0.1073,0.0897,0.8400,1.3000,55.0000,Ca_%,date2,pca_10,10
RF,-0.4135,-0.5714,0.2779,0.1077,0.0858,0.8400,1.3000,55.0000,Ca_%,date2,raw_smooth,300
GBR,-0.4499,-0.4760,0.2342,0.2144,0.1720,0.8300,0.8500,60.0000,Ca_%,date1,deriv1_snv,300
SVR,-0.4717,-0.7399,0.4436,0.1099,0.0886,0.8200,1.2700,55.0000,Ca_%,date2,pca_10,10
RF,-0.5019,-0.6710,0.4946,0.1110,0.0871,0.8200,1.2600,55.0000,Ca_%,date2,vip,116
