model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,track,n_features
SVR,0.0529,0.0647,0.2209,0.1733,0.1383,1.0300,1.0500,60,Ca_%,date1,C_fusion,83
SVR,-0.0024,-0.0303,0.1085,0.1782,0.1450,1.0000,1.0200,60,Ca_%,date1,B_hyper,34
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60,Ca_%,date1,A_multi,49
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60,Ca_%,date1,B_hyper,34
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60,Ca_%,date1,C_fusion,83
RF,-0.0273,-0.0521,0.0832,0.1804,0.1426,0.9900,1.0100,60,Ca_%,date1,B_hyper,34
RF,-0.0772,-0.1082,0.3058,0.1848,0.1416,0.9600,0.9900,60,Ca_%,date1,A_multi,49
RF,-0.1036,-0.1216,0.3508,0.1870,0.1442,0.9500,0.9800,60,Ca_%,date1,C_fusion,83
SVR,-0.1345,-0.1677,0.2757,0.1896,0.1445,0.9400,0.9600,60,Ca_%,date1,A_multi,49
XGBoost,-0.1430,-0.1638,0.5681,0.1903,0.1433,0.9400,0.9600,60,Ca_%,date1,C_fusion,83
XGBoost,-0.1444,-0.2059,0.4577,0.1904,0.1466,0.9300,0.9600,60,Ca_%,date1,A_multi,49
GBR,-0.1636,-0.2146,0.1830,0.1920,0.1543,0.9300,0.9500,60,Ca_%,date1,B_hyper,34
GBR,-0.1906,-0.2616,0.5150,0.1942,0.1507,0.9200,0.9400,60,Ca_%,date1,A_multi,49
XGBoost,-0.2345,-0.2703,0.3496,0.1978,0.1541,0.9000,0.9200,60,Ca_%,date1,B_hyper,34
GBR,-0.3161,-0.3377,0.6738,0.2042,0.1567,0.8700,0.8900,60,Ca_%,date1,C_fusion,83
PLSR,-2.3048,-2.3295,2.3202,0.3236,0.1969,0.5500,0.5600,60,Ca_%,date1,A_multi,49
PLSR,-4.1160,-5.1712,9.0393,0.4027,0.2225,0.4400,0.4500,60,Ca_%,date1,B_hyper,34
PLSR,-11.8049,-14.8477,27.5170,0.6370,0.2693,0.2800,0.2900,60,Ca_%,date1,C_fusion,83
RF,-0.0429,-0.2542,0.3944,0.5961,0.4983,0.9800,1.4200,40,Co_мг_кг,date1,A_multi,49
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40,Co_мг_кг,date1,A_multi,49
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40,Co_мг_кг,date1,B_hyper,34
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40,Co_мг_кг,date1,C_fusion,83
XGBoost,-0.0775,-0.3445,0.4880,0.6059,0.4862,0.9600,1.4000,40,Co_мг_кг,date1,A_multi,49
RF,-0.2175,-0.4284,0.4668,0.6441,0.5379,0.9100,1.3100,40,Co_мг_кг,date1,C_fusion,83
RF,-0.3899,-0.5878,0.3186,0.6881,0.5607,0.8500,1.2300,40,Co_мг_кг,date1,B_hyper,34
SVR,-0.4106,-0.5751,0.1106,0.6932,0.5619,0.8400,1.2200,40,Co_мг_кг,date1,A_multi,49
GBR,-0.4153,-0.7160,0.8121,0.6944,0.5636,0.8400,1.2200,40,Co_мг_кг,date1,A_multi,49
XGBoost,-0.4217,-0.6596,0.3739,0.6960,0.6011,0.8400,1.2100,40,Co_мг_кг,date1,C_fusion,83
SVR,-0.4711,-0.6752,0.3400,0.7080,0.6021,0.8200,1.1900,40,Co_мг_кг,date1,C_fusion,83
SVR,-0.5169,-0.7320,0.4887,0.7189,0.5862,0.8100,1.1800,40,Co_мг_кг,date1,B_hyper,34
GBR,-0.5857,-0.8937,0.6166,0.7350,0.6285,0.7900,1.1500,40,Co_мг_кг,date1,C_fusion,83
XGBoost,-0.7425,-1.0357,0.4548,0.7705,0.5969,0.7600,1.1000,40,Co_мг_кг,date1,B_hyper,34
GBR,-0.7634,-0.9865,0.5072,0.7751,0.6356,0.7500,1.0900,40,Co_мг_кг,date1,B_hyper,34
PLSR,-3.5057,-3.5315,2.8230,1.2390,0.8324,0.4700,0.6800,40,Co_мг_кг,date1,A_multi,49
PLSR,-378.7063,-518.6822,1030.3801,11.3741,2.6876,0.0500,0.0700,40,Co_мг_кг,date1,B_hyper,34
PLSR,-426.2547,-582.9022,1155.3728,12.0652,2.9494,0.0500,0.0700,40,Co_мг_кг,date1,C_fusion,83
GBR,0.0547,-0.0078,0.2164,2.3989,1.6965,1.0300,0.7500,59,Cu_мг_кг,date1,A_multi,49
XGBoost,-0.0137,-0.0360,0.4299,2.4842,1.5966,0.9900,0.7200,59,Cu_мг_кг,date1,A_multi,49
ElasticNet,-0.0523,-0.1093,0.0959,2.5310,1.8612,0.9700,0.7100,59,Cu_мг_кг,date1,A_multi,49
ElasticNet,-0.0539,-0.1201,0.0789,2.5329,1.8708,0.9700,0.7100,59,Cu_мг_кг,date1,B_hyper,34
ElasticNet,-0.0617,-0.1287,0.0801,2.5423,1.8813,0.9700,0.7100,59,Cu_мг_кг,date1,C_fusion,83
RF,-0.0861,-0.2063,0.2132,2.5713,1.8931,0.9600,0.7000,59,Cu_мг_кг,date1,A_multi,49
SVR,-0.1013,-0.1711,0.1500,2.5893,1.6699,0.9500,0.6900,59,Cu_мг_кг,date1,A_multi,49
SVR,-0.1209,-0.2175,0.1648,2.6122,1.6646,0.9400,0.6900,59,Cu_мг_кг,date1,B_hyper,34
SVR,-0.1335,-0.2368,0.1699,2.6269,1.6694,0.9400,0.6800,59,Cu_мг_кг,date1,C_fusion,83
XGBoost,-0.1930,-0.6886,1.3733,2.6949,1.9309,0.9200,0.6700,59,Cu_мг_кг,date1,B_hyper,34
RF,-0.2658,-0.6544,1.0009,2.7759,2.0978,0.8900,0.6500,59,Cu_мг_кг,date1,B_hyper,34
RF,-0.2836,-0.7200,1.0672,2.7954,2.1380,0.8800,0.6400,59,Cu_мг_кг,date1,C_fusion,83
GBR,-0.3096,-0.7069,0.9369,2.8236,2.0720,0.8700,0.6400,59,Cu_мг_кг,date1,B_hyper,34
XGBoost,-0.3390,-0.7222,0.8789,2.8550,1.9710,0.8600,0.6300,59,Cu_мг_кг,date1,C_fusion,83
GBR,-0.3542,-0.7879,1.0173,2.8712,2.1179,0.8600,0.6300,59,Cu_мг_кг,date1,C_fusion,83
PLSR,-1.2331,-1.7276,1.3825,3.6871,2.6453,0.6700,0.4900,59,Cu_мг_кг,date1,A_multi,49
PLSR,-500.0962,-717.9898,1430.3752,55.2318,10.2673,0.0400,0.0300,59,Cu_мг_кг,date1,C_fusion,83
PLSR,-1983.3288,-2846.7726,5690.1044,109.9095,16.9509,0.0200,0.0200,59,Cu_мг_кг,date1,B_hyper,34
SVR,-0.1858,-0.4950,0.5311,74.3030,60.3551,0.9200,1.2900,60,Fe_мг_кг,date1,B_hyper,34
SVR,-0.1906,-0.4977,0.5248,74.4545,60.5954,0.9200,1.2900,60,Fe_мг_кг,date1,C_fusion,83
SVR,-0.1925,-0.5003,0.5287,74.5123,60.7751,0.9200,1.2900,60,Fe_мг_кг,date1,A_multi,49
RF,-0.2574,-0.9164,1.2260,76.5147,64.3469,0.8900,1.2600,60,Fe_мг_кг,date1,A_multi,49
ElasticNet,-0.2916,-0.8584,0.9091,77.5471,63.9888,0.8800,1.2400,60,Fe_мг_кг,date1,A_multi,49
RF,-0.3482,-1.0259,1.1592,79.2285,63.6757,0.8600,1.2100,60,Fe_мг_кг,date1,B_hyper,34
RF,-0.3883,-1.1654,1.4066,80.3974,65.4394,0.8500,1.2000,60,Fe_мг_кг,date1,C_fusion,83
PLSR,-0.4349,-1.2252,1.4791,81.7368,68.9198,0.8300,1.1800,60,Fe_мг_кг,date1,A_multi,49
XGBoost,-0.5409,-1.3055,1.3862,84.7024,70.0566,0.8100,1.1400,60,Fe_мг_кг,date1,A_multi,49
XGBoost,-0.5470,-1.2815,1.1989,84.8689,67.3061,0.8000,1.1300,60,Fe_мг_кг,date1,B_hyper,34
GBR,-0.5777,-1.3775,1.3708,85.7078,66.1081,0.8000,1.1200,60,Fe_мг_кг,date1,B_hyper,34
GBR,-0.7037,-1.6017,1.5013,89.0642,68.0188,0.7700,1.0800,60,Fe_мг_кг,date1,C_fusion,83
GBR,-0.7584,-1.7088,1.7585,90.4823,75.9247,0.7500,1.0600,60,Fe_мг_кг,date1,A_multi,49
XGBoost,-0.7981,-1.7587,1.6197,91.4967,73.9124,0.7500,1.0500,60,Fe_мг_кг,date1,C_fusion,83
ElasticNet,-166.4581,-238.0376,473.5689,882.9928,180.8451,0.0800,0.1100,60,Fe_мг_кг,date1,C_fusion,83
ElasticNet,-190.0473,-271.6758,541.3040,943.1364,183.6624,0.0700,0.1000,60,Fe_мг_кг,date1,B_hyper,34
PLSR,-2993.0481,-4272.0755,8537.4144,3733.6487,569.0113,0.0200,0.0300,60,Fe_мг_кг,date1,C_fusion,83
PLSR,-6661.2985,-9507.1196,19008.9892,5569.4987,794.8285,0.0100,0.0200,60,Fe_мг_кг,date1,B_hyper,34
RF,0.1059,0.0306,0.0936,0.6648,0.5324,1.0600,1.5800,60,K_%,date1,B_hyper,34
SVR,0.0975,0.0120,0.1962,0.6679,0.5328,1.0500,1.5700,60,K_%,date1,B_hyper,34
RF,0.0304,-0.0560,0.1020,0.6923,0.5545,1.0200,1.5100,60,K_%,date1,C_fusion,83
SVR,0.0250,-0.1169,0.2104,0.6942,0.5544,1.0100,1.5100,60,K_%,date1,C_fusion,83
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60,K_%,date1,A_multi,49
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60,K_%,date1,B_hyper,34
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60,K_%,date1,C_fusion,83
GBR,-0.0733,-0.1915,0.0802,0.7283,0.5780,0.9700,1.4400,60,K_%,date1,C_fusion,83
GBR,-0.1493,-0.2763,0.1921,0.7537,0.6055,0.9300,1.3900,60,K_%,date1,B_hyper,34
SVR,-0.1634,-0.3324,0.2462,0.7583,0.6075,0.9300,1.3800,60,K_%,date1,A_multi,49
XGBoost,-0.1689,-0.3489,0.5148,0.7601,0.5998,0.9200,1.3800,60,K_%,date1,B_hyper,34
RF,-0.2441,-0.4685,0.3335,0.7842,0.6327,0.9000,1.3400,60,K_%,date1,A_multi,49
XGBoost,-0.3081,-0.4362,0.0994,0.8041,0.6386,0.8700,1.3000,60,K_%,date1,C_fusion,83
XGBoost,-0.3686,-0.7653,0.8109,0.8224,0.6566,0.8500,1.2700,60,K_%,date1,A_multi,49
PLSR,-0.4529,-0.7374,0.7122,0.8474,0.6904,0.8300,1.2400,60,K_%,date1,A_multi,49
GBR,-0.5998,-0.9924,0.6595,0.8892,0.7367,0.7900,1.1800,60,K_%,date1,A_multi,49
PLSR,-339.3341,-301.9969,601.3839,12.9695,2.4110,0.0500,0.0800,60,K_%,date1,C_fusion,83
PLSR,-1044.2198,-928.5366,1853.3041,22.7286,3.7571,0.0300,0.0500,60,K_%,date1,B_hyper,34
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60,Mg_%,date1,A_multi,49
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60,Mg_%,date1,B_hyper,34
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60,Mg_%,date1,C_fusion,83
SVR,-0.0368,-0.3325,0.7471,0.1076,0.0884,0.9800,1.0800,60,Mg_%,date1,A_multi,49
