model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features,augmented
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,smooth_300,300,none
RF,-0.1037,-0.1991,0.3050,0.5134,0.4139,0.9500,1.1600,60.0000,N_%,date1,smooth_300,300,none
SVR,-0.1781,-0.2238,0.2074,0.5304,0.4190,0.9200,1.1200,60.0000,N_%,date1,smooth_300,300,none
GBR,-0.2688,-0.4275,0.4694,0.5504,0.4285,0.8900,1.0800,60.0000,N_%,date1,smooth_300,300,none
XGBoost,-0.4670,-0.6325,0.6194,0.5919,0.4552,0.8300,1.0100,60.0000,N_%,date1,smooth_300,300,none
PLSR,-2.9176,-3.4913,3.5556,0.9672,0.7006,0.5100,0.6200,60.0000,N_%,date1,smooth_300,300,none
SVR,0.0477,-0.0122,0.1470,0.4769,0.3829,1.0200,1.2500,60.0000,N_%,date1,d1snv_300,300,none
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,d1snv_300,300,none
RF,-0.0290,-0.0676,0.1282,0.4957,0.3963,0.9900,1.2000,60.0000,N_%,date1,d1snv_300,300,none
GBR,-0.2257,-0.2712,0.2258,0.5410,0.4306,0.9000,1.1000,60.0000,N_%,date1,d1snv_300,300,none
XGBoost,-0.3586,-0.4650,0.2353,0.5696,0.4602,0.8600,1.0400,60.0000,N_%,date1,d1snv_300,300,none
PLSR,-4.7465,-6.0431,8.0411,1.1714,0.7638,0.4200,0.5100,60.0000,N_%,date1,d1snv_300,300,none
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,cwt,45,none
SVR,-0.1867,-0.2775,0.2586,0.5323,0.4266,0.9200,1.1200,60.0000,N_%,date1,cwt,45,none
RF,-0.2175,-0.2998,0.3054,0.5392,0.4315,0.9100,1.1000,60.0000,N_%,date1,cwt,45,none
GBR,-0.3712,-0.5195,0.5149,0.5722,0.4449,0.8500,1.0400,60.0000,N_%,date1,cwt,45,none
XGBoost,-0.4369,-0.5820,0.5906,0.5858,0.4676,0.8300,1.0200,60.0000,N_%,date1,cwt,45,none
PLSR,-1.9132,-2.2632,1.3707,0.8340,0.6291,0.5900,0.7100,60.0000,N_%,date1,cwt,45,none
RF,0.5355,0.5195,0.1165,0.3318,0.2530,1.4700,1.7000,120.0000,N_%,date1,cwt,45,mixup
GBR,0.5003,0.4660,0.2279,0.3442,0.2370,1.4100,1.6400,120.0000,N_%,date1,cwt,45,mixup
XGBoost,0.4203,0.3941,0.1451,0.3707,0.2412,1.3100,1.5200,120.0000,N_%,date1,cwt,45,mixup
SVR,0.1942,0.1669,0.0857,0.4370,0.3399,1.1100,1.2900,120.0000,N_%,date1,cwt,45,mixup
ElasticNet,-0.0075,-0.0230,0.0205,0.4887,0.3733,1.0000,1.1500,120.0000,N_%,date1,cwt,45,mixup
PLSR,-0.4287,-0.5649,1.2642,0.5819,0.3542,0.8400,0.9700,120.0000,N_%,date1,cwt,45,mixup
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,shape,12,none
RF,-0.0323,-0.0754,0.2678,0.4965,0.3921,0.9800,1.2000,60.0000,N_%,date1,shape,12,none
GBR,-0.2362,-0.3039,0.3795,0.5433,0.4325,0.9000,1.1000,60.0000,N_%,date1,shape,12,none
