model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features,augmented
PLSR,-0.0086,-0.1468,0.3943,0.4256,0.3232,1.0000,1.2600,100.0000,N_%,date1,bands,5,none
ElasticNet,-0.0330,-0.1352,0.1919,0.4307,0.3255,0.9800,1.2400,100.0000,N_%,date1,bands,5,none
SVR,-0.0395,-0.1663,0.4383,0.4320,0.3300,0.9800,1.2400,100.0000,N_%,date1,bands,5,none
RF,-0.0425,-0.1835,0.5115,0.4326,0.3297,0.9800,1.2400,100.0000,N_%,date1,bands,5,none
XGBoost,-0.1588,-0.3367,0.6184,0.4561,0.3575,0.9300,1.1700,100.0000,N_%,date1,bands,5,none
GBR,-0.1589,-0.3460,0.5479,0.4562,0.3532,0.9300,1.1700,100.0000,N_%,date1,bands,5,none
RF,-0.0281,-0.1590,0.6356,0.4297,0.3101,0.9900,1.2500,100.0000,N_%,date1,indices,44,none
ElasticNet,-0.0330,-0.1352,0.1919,0.4307,0.3255,0.9800,1.2400,100.0000,N_%,date1,indices,44,none
PLSR,-0.0651,-0.2311,0.4965,0.4373,0.3312,0.9700,1.2200,100.0000,N_%,date1,indices,44,none
SVR,-0.0923,-0.2695,0.6191,0.4428,0.3273,0.9600,1.2100,100.0000,N_%,date1,indices,44,none
GBR,-0.1273,-0.2648,0.7525,0.4499,0.3170,0.9400,1.1900,100.0000,N_%,date1,indices,44,none
XGBoost,-0.1410,-0.2303,0.6114,0.4526,0.3225,0.9400,1.1800,100.0000,N_%,date1,indices,44,none
GBR,0.4657,0.4795,0.1194,0.2797,0.1818,1.3700,1.5200,200.0000,N_%,date1,indices,44,mixup
XGBoost,0.3930,0.4022,0.1223,0.2982,0.1852,1.2800,1.4300,200.0000,N_%,date1,indices,44,mixup
RF,0.3924,0.4075,0.1589,0.2983,0.2033,1.2800,1.4300,200.0000,N_%,date1,indices,44,mixup
SVR,0.2434,0.2362,0.1425,0.3329,0.2296,1.1500,1.2800,200.0000,N_%,date1,indices,44,mixup
ElasticNet,-0.0087,-0.0295,0.0339,0.3843,0.2882,1.0000,1.1100,200.0000,N_%,date1,indices,44,mixup
RF,-0.0116,-0.1443,0.6479,0.4262,0.3095,0.9900,1.2600,100.0000,N_%,date1,bands_idx,49,none
ElasticNet,-0.0330,-0.1352,0.1919,0.4307,0.3255,0.9800,1.2400,100.0000,N_%,date1,bands_idx,49,none
PLSR,-0.0382,-0.2010,0.4597,0.4317,0.3297,0.9800,1.2400,100.0000,N_%,date1,bands_idx,49,none
SVR,-0.0640,-0.2316,0.6425,0.4371,0.3206,0.9700,1.2200,100.0000,N_%,date1,bands_idx,49,none
XGBoost,-0.0765,-0.1775,0.4530,0.4396,0.3270,0.9600,1.2200,100.0000,N_%,date1,bands_idx,49,none
GBR,-0.0922,-0.2805,0.8163,0.4428,0.3306,0.9600,1.2100,100.0000,N_%,date1,bands_idx,49,none
RF,0.4068,0.4210,0.1528,0.2947,0.2004,1.3000,1.4400,200.0000,N_%,date1,bands_idx,49,mixup
GBR,0.3767,0.4034,0.1903,0.3021,0.1897,1.2700,1.4100,200.0000,N_%,date1,bands_idx,49,mixup
XGBoost,0.3685,0.3806,0.1409,0.3041,0.1894,1.2600,1.4000,200.0000,N_%,date1,bands_idx,49,mixup
SVR,0.2615,0.2568,0.1437,0.3288,0.2243,1.1600,1.2900,200.0000,N_%,date1,bands_idx,49,mixup
ElasticNet,-0.0087,-0.0295,0.0339,0.3843,0.2882,1.0000,1.1100,200.0000,N_%,date1,bands_idx,49,mixup
ElasticNet,-0.0330,-0.1352,0.1919,0.4307,0.3255,0.9800,1.2400,100.0000,N_%,date1,pca,10,none
RF,-0.0998,-0.2872,0.6746,0.4444,0.3375,0.9500,1.2000,100.0000,N_%,date1,pca,10,none
PLSR,-0.1305,-0.2851,0.5466,0.4505,0.3439,0.9400,1.1900,100.0000,N_%,date1,pca,10,none
SVR,-0.1489,-0.3277,0.8323,0.4542,0.3392,0.9300,1.1800,100.0000,N_%,date1,pca,10,none
GBR,-0.2136,-0.3742,0.6054,0.4668,0.3677,0.9100,1.1500,100.0000,N_%,date1,pca,10,none
XGBoost,-0.3673,-0.6298,0.9345,0.4955,0.3773,0.8600,1.0800,100.0000,N_%,date1,pca,10,none
RF,-0.0028,-0.1267,0.4184,0.4243,0.3216,1.0000,1.2600,100.0000,N_%,date1,poly,20,none
ElasticNet,-0.0330,-0.1352,0.1919,0.4307,0.3255,0.9800,1.2400,100.0000,N_%,date1,poly,20,none
SVR,-0.0447,-0.1698,0.4247,0.4331,0.3312,0.9800,1.2400,100.0000,N_%,date1,poly,20,none
GBR,-0.1131,-0.2472,0.2868,0.4471,0.3487,0.9500,1.2000,100.0000,N_%,date1,poly,20,none
XGBoost,-0.1437,-0.2688,0.2670,0.4532,0.3546,0.9400,1.1800,100.0000,N_%,date1,poly,20,none
PLSR,-0.3593,-0.5332,0.5089,0.4940,0.3662,0.8600,1.0800,100.0000,N_%,date1,poly,20,none
